,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
2023102032,イスラボニータ,ツバキエンジェル,フジキセキ,イスラコジーン,フォーティナイナーズサン,ユキノマーガレット,サンデーサイレンス,ミルレーサー,Cozzene,Isla Mujeres,Distorted Humor,Cindazanno,クロフネ,ノーザンヴィーナス,Halo,Wishing Well,Le Fabuleux,Marston's Mill,Caro,Ride the Trails,Crafty Prospector,Lido Isle,フォーティナイナー,Danzig's Beauty,Alleged,Venus Bound,フレンチデピュティ,ブルーアヴェニュー,ノーザンテースト,ダボナアンビション,Hail to Reason,Cosmah,Understanding,Mountain Flower,Wild Risk,Anguar,In Reality,Millicent,フォルティノ,Chambord,Prince John,Wildwook,Mr. Prospector,Real Crafty Lady,Far North,She Is Gorgeous,Mr. Prospector,File,Danzig,Sweetest Chant,Hoist the Flag,Princess Pout,Conquistador Cielo,Rokeby Venus,Deputy Minister,Mitterand,Classic Go Go,Eliza Blue,Northern Dancer,Lady Victoria,Seattle Slew,ダボナゴールド
2023104933,ダノンスマッシュ,ダブルファンタジー,ロードカナロア,スピニングワイルドキャット,ジャイアントレッカー,ガーデンローズ,キングカメハメハ,レディブラッサム,Hard Spun,Hollywood Wildcat,Giant's Causeway,Homewrecker,トニービン,クイーンアドマイヤ,Kingmambo,マンファス,Storm Cat,サラトガデュー,Danzig,Turkish Tryst,Kris S.,Miss Wildcatter,Storm Cat,Mariah's Storm,Buckaroo,Execution,カンパラ,Severn Bridge,サンデーサイレンス,ダンスロマンス,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm Bird,Terlingua,Cormorant,Super Luna,Northern Dancer,Pas de Nom,Turkoman,Darbyvail,Roberto,Sharp Queen,Mr. Prospector,Elizabeth K.,Storm Bird,Terlingua,Rahy,イメンス,Buckpasser,Stepping High,The Axe,House of Cards,Kalamoun,State Pension,Hornbeam,Priddy Fair,Halo,Wishing Well,Northern Dancer,Blue Tepee
2023105952,トーセンレーヴ,トーセンロザリオ,ディープインパクト,ビワハイジ,Galileo,Dance For Fun,サンデーサイレンス,ウインドインハーヘア,Caerleon,アグサン,Sadler's Wells,Urban Sea,Anabaa,Hilaris,Halo,Wishing Well,Alzao,Burghclere,Nijinsky,Foreseer,Lord Gayle,Santa Luciana,Northern Dancer,Fairy Bridge,Miswaki,Allegretta,Danzig,Balbonella,アラジ,Carnival Spirit,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Northern Dancer,Flaming Page,Round Table,Regal Gleam,Sir Gaylord,Sticky Case,Luciano,Suleika,Nearctic,Natalma,Bold Reason,Special,Mr. Prospector,Hopespringseternal,Lombard,Anatevka,Northern Dancer,Pas de Nom,ゲイメセン,Bamieres,Blushing Groom,ダンスールファビュルー,Kris,Fiesta Fun
2023100397,インディチャンプ,メイショウホナミ,ステイゴールド,ウィルパワー,アイルハヴアナザー,ドゥザボサノバ,サンデーサイレンス,ゴールデンサッシュ,キングカメハメハ,トキオリアリティー,Flower Alley,Arch's Gal Edith,Galileo,Sateen,Halo,Wishing Well,ディクタス,ダイナサッシュ,Kingmambo,マンファス,Meadowlake,What a Reality,Distorted Humor,プリンセスオリビア,Arch,Force Five Gal,Sadler's Wells,Urban Sea,Barathea,Souk,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Hold Your Peace,Suspicious Native,In Reality,What Will Be,フォーティナイナー,Danzig's Beauty,Lycius,Dance Image,Kris S.,Aurora,Pleasant Tap,Last Cause,Northern Dancer,Fairy Bridge,Miswaki,Allegretta,Sadler's Wells,Brocade,Ahonoora,Soumana
2023105795,ロードカナロア,オースオブゴールド,キングカメハメハ,レディブラッサム,オルフェーヴル,ティッカーテープ,Kingmambo,マンファス,Storm Cat,サラトガデュー,ステイゴールド,オリエンタルアート,Royal Applause,Argent Du Bois,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm Bird,Terlingua,Cormorant,Super Luna,サンデーサイレンス,ゴールデンサッシュ,メジロマックイーン,エレクトロアート,ワージブ,Flying Melody,Silver Hawk,Wiener Wald,Raise a Native,Gold Digger,Nureyev,Pasadoble,トライマイベスト,Mill Princess,Blakeney,The Dancer,Northern Dancer,South Ocean,Secretariat,Crimson Saint,His Majesty,Song Sparrow,In Reality,Alada,Halo,Wishing Well,ディクタス,ダイナサッシュ,メジロティターン,メジロオーロラ,ノーザンテースト,グランマスティーヴンス,トライマイベスト,Coryana,Auction Ring,Whispering Star,Roberto,Gris Vitesse,Woodman,Chapel of Dreams
2023106862,リアルスティール,アーズローヴァー,ディープインパクト,ラヴズオンリーミー,キンシャサノキセキ,ヴィアンローズ,サンデーサイレンス,ウインドインハーヘア,Storm Cat,Monevassia,フジキセキ,ケルトシャーン,Sevres Rose,Princesse de Viane,Halo,Wishing Well,Alzao,Burghclere,Storm Bird,Terlingua,Mr. Prospector,Miesque,サンデーサイレンス,ミルレーサー,Pleasant Colony,Featherhill,Caerleon,Indian Rose,Kaldoun,Life On the Road,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Raise a Native,Gold Digger,Nureyev,Pasadoble,Halo,Wishing Well,Le Fabuleux,Marston's Mill,His Majesty,Sun Colony,Lyphard,Lady Berry,Nijinsky,Foreseer,General Holme,Lady Berry,Caro,Katana,Persian Heights,Arkova
2023103454,サートゥルナーリア,スノーエンジェル,ロードカナロア,シーザリオ,スウェプトオーヴァーボード,サイレントプレアー,キングカメハメハ,レディブラッサム,スペシャルウィーク,キロフプリミエール,エンドスウィープ,Sheer Ice,サンデーサイレンス,ジェントルスピリット,Kingmambo,マンファス,Storm Cat,サラトガデュー,サンデーサイレンス,キャンペンガール,Sadler's Wells,Querida,フォーティナイナー,Broom Dance,Cutlass,Hey Dolly A.,Halo,Wishing Well,Nijinsky,Banderole,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Storm Bird,Terlingua,Cormorant,Super Luna,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Northern Dancer,Fairy Bridge,Habitat,Principia,Mr. Prospector,File,Dance Spell,Witching Hour,Damascus,Aphonia,Ambehaving,Swift Deal,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Flaming Page,Hoist the Flag,Mrs. Peterkin
2023101092,シュヴァルグラン,ディアボレット,ハーツクライ,ハルーワスウィート,ディープブリランテ,エトピリカ,サンデーサイレンス,アイリッシュダンス,Machiavellian,ハルーワソング,ディープインパクト,ラヴアンドバブルズ,キングカメハメハ,アフレイタス,Halo,Wishing Well,トニービン,ビューパーダンス,Mr. Prospector,Coup de Folie,Nureyev,Morn of Song,サンデーサイレンス,ウインドインハーヘア,Loup Sauvage,バブルドリーム,Kingmambo,マンファス,サンデーサイレンス,リボーズシークレット,Hail to Reason,Cosmah,Understanding,Mountain Flower,カンパラ,Severn Bridge,Lyphard,My Bupers,Raise a Native,Gold Digger,Halo,Raise the Standard,Northern Dancer,Special,Blushing Groom,Glorious Song,Halo,Wishing Well,Alzao,Burghclere,Riverman,Louveterie,Akarad,バブルプロスペクター,Mr. Prospector,Miesque,ラストタイクーン,Pilot Bird,Halo,Wishing Well,デインヒル,Glim
2023106470,ブリックスアンドモルタル,ブルーバード,Giant's Causeway,Beyond the Waves,リーチザクラウン,エーシンベタラネリ,Storm Cat,Mariah's Storm,Ocean Crest,Excedent,スペシャルウィーク,クラウンピース,Elusive Quality,バーモントガール,Storm Bird,Terlingua,Rahy,イメンス,Storm Bird,S.S.Aroma,Exceller,Broadway Lullaby,サンデーサイレンス,キャンペンガール,Seattle Slew,クラシッククラウン,Gone West,Touch of Greatness,ミシエロ,Raging Apalachee,Northern Dancer,South Ocean,Secretariat,Crimson Saint,Blushing Groom,Glorious Song,Roberto,Imsodear,Northern Dancer,South Ocean,Seattle Slew,Rare Bouquet,Vaguely Noble,Too Bald,Stage Door Johnny,リットルブレツシング,Halo,Wishing Well,マルゼンスキー,レディーシラオキ,Bold Reasoning,My Charmer,Mr. Prospector,Six Crowns,Mr. Prospector,Secrettame,Hero's Honor,Ivory Wand,Conquistador Cielo,My Inheritance,Apalachee,Fagers Charisma
2023103231,ミスチヴィアスアレックス,マイネマリアンヌ,Into Mischief,White Pants Night,ダイワメジャー,エアリバティー,Harlan's Holiday,Leslie's Lady,Speightstown,More d'Amour,サンデーサイレンス,スカーレットブーケ,トニービン,ジョイアスピルエット,Harlan,Christmas in Aiken,Tricky Creek,Crystal Lady,Gone West,Silken Cat,Tour d'Or,Love Connection,Halo,Wishing Well,ノーザンテースト,スカーレットインク,カンパラ,Severn Bridge,Nureyev,グリーミングスマイル,Storm Cat,Country Romance,Affirmed,Dowager,Clever Trick,Battle Creek Girl,Stop the Music,One Last Bird,Mr. Prospector,Secrettame,Storm Cat,Silken Doll,Medaille d'Or,Debby's Turn,Master Derby,Perfect Connection,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consentida,Kalamoun,State Pension,Hornbeam,Priddy Fair,Northern Dancer,Special,Gleaming,Sweet Tooth
