クラス,血統,1着,2着,3着,着外
all,ハーツクライ,1,1,0,0
all,シルバーステート,1,0,0,0
all,アドマイヤマーズ,0,1,0,2
all,Gun Runner,0,0,1,0
all,ハービンジャー,0,0,1,0
all,アルアイン,0,0,0,1
all,エピファネイア,0,0,0,1
all,コントレイル,0,0,0,1
all,ゴールドシップ,0,0,0,2
all,サトノダイヤモンド,0,0,0,1
all,サートゥルナーリア,0,0,0,2
all,スワーヴリチャード,0,0,0,1
all,ダノンレジェンド,0,0,0,1
all,フィレンツェファイア,0,0,0,1
all,ミッキーロケット,0,0,0,1
all,モーリス,0,0,0,1
all,リアルスティール,0,0,0,1
all,レイデオロ,0,0,0,2
all,ロードカナロア,0,0,0,0
1勝クラス,ハーツクライ,1,1,0,0
1勝クラス,ハービンジャー,0,0,1,0
1勝クラス,アドマイヤマーズ,0,0,0,1
1勝クラス,エピファネイア,0,0,0,1
1勝クラス,ゴールドシップ,0,0,0,1
1勝クラス,ダノンレジェンド,0,0,0,1
1勝クラス,レイデオロ,0,0,0,2
未勝利,シルバーステート,1,0,0,0
未勝利,アドマイヤマーズ,0,1,0,1
未勝利,Gun Runner,0,0,1,0
未勝利,アルアイン,0,0,0,1
未勝利,コントレイル,0,0,0,1
未勝利,ゴールドシップ,0,0,0,1
未勝利,サトノダイヤモンド,0,0,0,1
未勝利,サートゥルナーリア,0,0,0,2
未勝利,スワーヴリチャード,0,0,0,1
未勝利,フィレンツェファイア,0,0,0,1
未勝利,ミッキーロケット,0,0,0,1
未勝利,モーリス,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,ロードカナロア,0,0,0,0
