,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,フクシマコウヨウ,牝4,56.0,岩田康,小島,,美浦,2022104870,5203,アドマイヤマーズ,セットプレイ,Van Nistelrooy,1.4937514797083398,1,0.2060290443118704,1,,
1,2,2,エムフォー,牡3,52.0,▲小林美,石坂,,栗東,2023100630,1206,フォーウィールドライブ,エムエスクイーン,バトルプラン,0.13008455993416,7,-0.6051540383253025,7,,
2,3,3,セイルロケット,牡4,58.0,小沢,橋口,,栗東,2022104858,1185,スワーヴリチャード,スプリングゲイル,キンシャサノキセキ,0.7540583251491942,3,-0.23398058312725928,3,,
3,4,4,キャンドルマス,牡5,58.0,北村友,小崎,,栗東,2021101624,1102,パイロ,アプト,アドマイヤムーン,-0.15627865510820374,8,-0.7754984180000866,8,,
4,5,5,ムーンブランシュ,牝3,53.0,古川吉,牧,,美浦,2023104849,1015,ドレフォン,ミチャチスインテンタ,Paynter,0.4643328784933637,5,-0.4063250006156789,5,,
5,5,6,グッバイウェーブ,牝4,56.0,横山琉,中川,,美浦,2022102492,1192,ミスターメロディ,トーワクリステル,ディープインパクト,-0.8268038525302582,9,-1.1743631911668309,9,,
6,6,7,クイーンレグナント,牝3,53.0,横山和,嘉藤,,美浦,2023101106,1140,タワーオブロンドン,ヴァラークラウン,ダノンシャンティ,0.17365049774312608,6,-0.5792386544310384,6,,
7,6,8,カップッチョ,牡9,55.0,▲遠藤,佐藤吉,,美浦,2017104266,1218,ジョーカプチーノ,ベルグチケット,ウイニングチケット,-1.67648198811089,12,-1.679797853601731,12,,
8,7,9,タイセイブルーム,牡3,54.0,☆長浜,古賀慎,,美浦,2023100533,1214,マテラスカイ,クイーンズシアター,ディープインパクト,-1.073786458658491,10,-1.321281847688938,10,,
9,7,10,クロナ,牡3,53.0,△舟山,高橋亮,,栗東,2023107374,1221,スワーヴリチャード,アーマイン,Exchange Rate,0.6848534370298744,4,-0.27514740595191706,4,,
10,8,11,ワイルドゴーア,牡4,55.0,▲石田,加藤士,,美浦,2022109047,1203,タワーオブロンドン,ノンストップ,オルフェーヴル,1.198728585171989,2,0.030533417360555266,2,,
11,8,12,サイコウダネ,牡5,54.0,★河原田,天間,,美浦,2021102701,1204,タリスマニック,ジェムディーラー,キングズベスト,-1.166108808822205,11,-1.3762001913960007,11,,
