,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,アクロスメモリア,牝3,52.0,▲小林美,田島,470(-2),8.2,5,美浦,2023102399,1206,マインドユアビスケッツ,ハッピーダイアリー,アグネスタキオン,0.0627970403178146,6,0.5295635729269343,2,0.288571593195001,3,-1.4205571150498668,11,0.0304865918052779,0.0951074888303512
1,2,2,ペイシャクロス,牝3,54.0,☆長浜,粕谷,458(-2),52.7,6,美浦,2023102999,1214,ニシケンモノノフ,ペイシャプレゼント,ノヴェリスト,0.0344610255567894,9,0.4175394375743234,3,-0.140380533089649,6,-0.8465748330781145,7,0.0541235424151181,0.0147985086984607
2,3,3,カッサンドラ,牝3,55.0,横山琉,高橋忠,422(-2),6.2,2,栗東,2023103999,1192,インディチャンプ,マレンカヤ,ファンタスティックライト,0.0844458283395239,5,-1.0409351774605526,11,-0.3787512483878348,7,-1.0742205693466222,9,0.0431043327421317,0.1257873239369162
3,4,4,カフェオドヴィー,牡3,57.0,斎藤,古賀慎,550(0),36.3,9,美浦,2023106253,1178,ヘニーヒューズ,カフェレヨン,アイルハヴアナザー,0.1137555370926025,3,0.373833823009187,4,0.3313763066357541,2,0.4901618667665632,1,0.2060267378654011,0.0214843363198038
4,5,5,カプリースカラー,牝3,53.0,△鷲頭,金成,404(-12),33.9,8,美浦,2023102282,1202,ホークビル,カプリースレディー,ジャングルポケット,0.0475163534121581,7,-0.5365549428533196,9,-0.4123880009718675,8,-0.5607981040969898,5,0.0720273555438184,0.0230053512804979
5,5,6,ミスマラッカ,牝3,55.0,丹内,本間,444(+18),40.5,10,美浦,2023103857,1091,マテラスカイ,ノーブルサファイア,サウスヴィグラス,0.021430293383209,12,-1.3844193438299612,12,-0.7140019022121002,11,-1.676417067246538,12,0.0236042556945938,0.0192563310718242
6,6,7,マーマレードスカイ,牝3,55.0,佐々木,堀内,410(-2),6.9,3,美浦,2023103574,1197,レッドファルクス,メープルリキュール,オルフェーヴル,0.0970820552742068,4,-0.3145449095469833,6,-0.100492865955713,5,-0.4416949052638903,4,0.0811378194746629,0.1130262910737508
7,6,8,デルマハルナ,牝3,52.0,▲大久保,天間,466(+6),58.5,12,美浦,2023101370,1194,ディーマジェスティ,フェリシアルチア,サウスヴィグラス,0.0223224874846525,11,-0.5187452095390438,8,0.4033210333119664,1,-1.393789382606603,10,0.0313136688426575,0.0133313061266475
8,7,9,ジャストキュート,牝3,54.0,☆舟山,武藤,468(0),60.1,7,美浦,2023102436,1221,ゴールドドリーム,レアドロップ,キンシャサノキセキ,0.0369094343332873,8,-0.512109374291328,7,-0.5095280951414963,9,-0.7295559827873185,6,0.0608424725200043,0.0129763961465703
9,7,10,グレイトソン,牡3,54.0,▲和田陽,鈴木孝,460(-4),1.7,1,栗東,2023105059,1223,カリフォルニアクローム,デンファレ,フジキセキ,0.32582469354455,1,0.8440468202643712,1,-0.0100465655483717,4,0.4243051112372246,2,0.1928956174368174,0.4587537696522826
10,8,11,ロードベルファスト,牡3,57.0,小沢,畑端,474(-8),46.5,11,栗東,2023102476,1185,ロジャーバローズ,ファシネイト,キングカメハメハ,0.0320213523517734,10,-1.01467430268159,10,-1.398698127727634,12,-0.981945788154212,8,0.0472710615119581,0.0167716431915888
11,8,12,ジェッディンデデン,牝3,52.0,▲遠藤,大和田,480(-2),9.1,4,美浦,2023106606,1218,モズアスコット,ミナレット,スズカマンボ,0.1214338989094318,2,0.0720480788457961,5,-0.5116186079776851,10,0.2194619447927303,3,0.1571665441475582,0.0857012536713055
