,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ピックアップライン,牡6,58.0,木幡巧,田中剛,516(-12),美浦,2020103088,01162,ロゴタイプ,ラブリリック,ワイルドラッシュ,-0.7780627186076823,7
1,2,2,クインズデネブ,牝5,56.0,杉原,小島,422(+4),美浦,2021106328,01135,カレンブラックヒル,ママキジャ,ストラヴィンスキー,-0.9641492045558815,8
2,2,3,ラストシャリナ,牡4,58.0,戸崎圭,矢嶋,496(+2),美浦,2022100418,05386,アルアイン,ラピーダシャリナ,Vicar,-0.11935004242972456,4
3,3,4,メイショウハチロー,牡4,58.0,川田,福永,500(0),栗東,2022103264,01088,シニスターミニスター,メイショウミハル,ダイワメジャー,0.7207880742313019,1
4,3,5,ベンヌ,牡4,58.0,横山武,久保田,506(-12),美浦,2022101703,01170,パイロ,レッドフェザー,ディープスカイ,0.46629863512870984,2
5,4,6,トクシーカイザー,牡6,58.0,武豊,小島,482(-6),美浦,2020100406,00666,キンシャサノキセキ,キングアンドクイン,キングカメハメハ,0.3678001211280274,3
6,4,7,スプランドゥール,牡5,58.0,柴田大,和田雄,476(+2),美浦,2021100623,01009,シルバーステート,チェリーシェル,サクラバクシンオー,-0.25978495486382797,5
7,5,8,カネショウレジェン,牡4,58.0,ルメール,稲垣,486(-6),美浦,2022102790,05339,ダノンレジェンド,マスターコーク,フレンチデピュティ,-0.3219893399694519,6
8,5,9,エンセリオ,牝5,56.0,佐々木,小笠,454(+10),美浦,2021100300,01197,ドレフォン,ラベ,ダンスインザダーク,-1.060843300968984,10
9,6,10,シャパリュ,セ5,58.0,三浦,菊沢,532(0),美浦,2021104786,01122,スワーヴリチャード,ボンバルリーナ,シンボリクリスエス,-1.3010896343956198,12
10,6,11,レーウィン,セ5,58.0,矢野貴,平岩,498(-8),美浦,2021100734,05380,ヘニーヒューズ,フジインザスカイ,ディープスカイ,-1.3010896343956198,12
11,7,12,フウセツ,牡4,58.0,大野,鈴木慎,496(-2),美浦,2022101626,01096,サンダースノー,アプト,アドマイヤムーン,-1.3678854390207764,14
12,7,13,イノセントキャット,牝5,56.0,田辺,久保田,454(0),美浦,2021104745,01075,シュヴァルグラン,イルーシヴキャット,キングカメハメハ,-1.4628309104043826,15
13,8,14,ワンダラー,牡4,58.0,レーン,黒岩,540(+4),美浦,2022100071,05585,マクフィ,ミスシューケット,ルーラーシップ,-1.2717243793711381,11
14,8,15,ペイシャケイプ,牡4,58.0,横山典,高橋康,542(0),栗東,2022104219,00660,シャンハイボビー,ペイシャフローレス,ヴィクトワールピサ,-0.990872711866575,9
