クラス,血統,1着,2着,3着,着外
all,キングカメハメハ,1,0,0,0
all,ゴールドシップ,1,0,0,2
all,タートルボウル,1,0,0,1
all,ドゥラメンテ,1,0,0,1
all,ナカヤマフェスタ,1,0,0,0
all,エピファネイア,0,1,1,0
all,ディープインパクト,0,1,1,0
all,グラスワンダー,0,1,0,1
all,ダイワメジャー,0,1,0,3
all,ロードカナロア,0,1,0,1
all,エイシンフラッシュ,0,0,1,3
all,スクリーンヒーロー,0,0,1,4
all,ヴィクトワールピサ,0,0,1,0
all,アイルハヴアナザー,0,0,0,3
all,オルフェーヴル,0,0,0,2
all,カレンブラックヒル,0,0,0,1
all,キズナ,0,0,0,2
all,ジャスタウェイ,0,0,0,2
all,ジョーカプチーノ,0,0,0,1
all,スピルバーグ,0,0,0,1
all,タニノギムレット,0,0,0,1
all,ディスクリートキャット,0,0,0,1
all,トゥザワールド,0,0,0,1
all,トランセンド,0,0,0,1
all,トーセンファントム,0,0,0,1
all,トーセンホマレボシ,0,0,0,2
all,トーセンラー,0,0,0,3
all,ネオユニヴァース,0,0,0,1
all,ノヴェリスト,0,0,0,4
all,ハーツクライ,0,0,0,1
all,バゴ,0,0,0,1
all,ブラックタイド,0,0,0,2
all,ベーカバド,0,0,0,1
all,リオンディーズ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ルーラーシップ,0,0,0,2
all,ロージズインメイ,0,0,0,2
all,ローズキングダム,0,0,0,1
オープン,ナカヤマフェスタ,1,0,0,0
オープン,ロードカナロア,0,1,0,0
オープン,ディープインパクト,0,0,1,0
オープン,キズナ,0,0,0,1
オープン,タートルボウル,0,0,0,1
オープン,ダイワメジャー,0,0,0,1
オープン,トランセンド,0,0,0,1
オープン,ネオユニヴァース,0,0,0,1
オープン,ノヴェリスト,0,0,0,1
オープン,ルーラーシップ,0,0,0,2
オープン,ローズキングダム,0,0,0,1
新馬,ゴールドシップ,1,0,0,0
新馬,ドゥラメンテ,1,0,0,1
新馬,エピファネイア,0,1,1,0
新馬,グラスワンダー,0,1,0,1
新馬,スクリーンヒーロー,0,0,1,1
新馬,アイルハヴアナザー,0,0,0,2
新馬,エイシンフラッシュ,0,0,0,2
新馬,オルフェーヴル,0,0,0,2
新馬,ジャスタウェイ,0,0,0,1
新馬,ディスクリートキャット,0,0,0,1
新馬,トーセンファントム,0,0,0,1
新馬,トーセンホマレボシ,0,0,0,1
新馬,トーセンラー,0,0,0,2
新馬,ブラックタイド,0,0,0,1
新馬,ベーカバド,0,0,0,1
新馬,リオンディーズ,0,0,0,1
新馬,リーチザクラウン,0,0,0,1
新馬,ロージズインメイ,0,0,0,1
未勝利,キングカメハメハ,1,0,0,0
未勝利,タートルボウル,1,0,0,0
未勝利,ダイワメジャー,0,1,0,2
未勝利,ディープインパクト,0,1,0,0
未勝利,エイシンフラッシュ,0,0,1,1
未勝利,ヴィクトワールピサ,0,0,1,0
未勝利,アイルハヴアナザー,0,0,0,1
未勝利,カレンブラックヒル,0,0,0,1
未勝利,キズナ,0,0,0,1
未勝利,ゴールドシップ,0,0,0,2
未勝利,ジャスタウェイ,0,0,0,1
未勝利,ジョーカプチーノ,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,3
未勝利,スピルバーグ,0,0,0,1
未勝利,タニノギムレット,0,0,0,1
未勝利,トゥザワールド,0,0,0,1
未勝利,トーセンホマレボシ,0,0,0,1
未勝利,トーセンラー,0,0,0,1
未勝利,ノヴェリスト,0,0,0,3
未勝利,ハーツクライ,0,0,0,1
未勝利,バゴ,0,0,0,1
未勝利,ブラックタイド,0,0,0,1
未勝利,ロージズインメイ,0,0,0,1
未勝利,ロードカナロア,0,0,0,1
