,result_flag
0,4
1,3
2,8
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,3
19,3
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,3
28,9
29,4
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,4
46,3
47,3
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,3
58,3
59,4
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,3
76,4
77,2
78,0
79,0
80,0
81,0
82,0
83,0
84,3
85,6
86,2
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,3
103,4
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,5
121,4
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,3
139,7
140,2
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,3
153,2
154,4
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,4
171,3
172,3
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,4
185,4
186,7
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,3
200,8
201,5
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,5
217,5
218,2
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,5
229,5
230,2
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,4
246,2
247,2
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,4
256,5
257,3
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,3
267,2
268,2
269,0
270,0
271,0
272,3
273,2
274,6
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,4
284,9
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,3
302,3
303,1
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,7
315,4
316,7
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,3
333,4
334,2
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,10
343,5
344,7
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,3
361,9
362,2
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,8
378,3
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,3
396,3
397,4
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,3
413,6
414,6
415,0
416,0
417,0
418,0
419,0
420,3
421,3
422,2
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,3
433,3
434,4
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
