,result_flag
0,4
1,2
2,8
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,5
17,2
18,4
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,3
35,3
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,3
44,2
45,3
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,10
58,2
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,10
70,3
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,3
80,2
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,5
98,3
99,8
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,3
116,4
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,3
126,9
127,3
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,3
144,2
145,8
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,3
156,6
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,4
174,5
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,6
189,9
190,7
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,4
199,2
200,6
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,3
217,9
218,3
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,8
235,2
236,3
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,5
249,3
250,2
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,3
267,4
268,4
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,5
283,2
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,3
292,8
293,6
294,0
295,0
296,0
297,0
298,0
299,0
300,3
301,2
302,8
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,3
314,3
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,5
325,2
326,8
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,6
339,4
340,1
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,3
354,5
355,2
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,7
367,7
368,7
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,5
384,4
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,3
395,3
396,2
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,3
413,5
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,7
431,4
432,2
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,4
444,2
445,4
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,3
462,3
463,2
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,8
479,2
480,8
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
