,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,スラッシュコード,牡3,53.0,★河原田,伊藤圭,462(-2),美浦,2023101448,1204,ミスターメロディ,グリンテソーロ,カジノドライヴ,0.5985007910396037,9,-0.3778821324815312,9,,
1,2,2,アリディプラチノ,牝3,52.0,▲大久保,畑端,422(+10),栗東,2023102063,1194,ホークビル,タイセイラルーナ,ゴールドアリュール,0.681713741489824,8,-0.3313294911324461,8,,
2,2,3,スノーランス,牝3,53.0,△舟山,上原佑,464(+2),美浦,2023103693,1221,ニューイヤーズデイ,シャルロワ,ハーツクライ,2.3054194726856236,1,0.5770362157899436,1,,
3,3,4,ジュディーイメル,牝3,52.0,▲小林美,武英,438(0),栗東,2023105116,1206,アドマイヤマーズ,ヴォルカン,ロードカナロア,1.3666324640471097,4,0.05184134311837183,4,,
4,3,5,タイセイガナール,牡3,54.0,▲水沼,伊藤圭,472(+4),美浦,2023102023,1201,タワーオブロンドン,アニムス,ゴールドアリュール,0.09522503288705401,13,-0.6594346521579026,13,,
5,4,6,マリブサーフ,牝3,53.0,△田山,牧浦,432(-2),栗東,2023100966,1220,ロードカナロア,マストバイアイテム,アフリート,1.560711244402736,3,0.16041674882722476,3,,
6,4,7,ゲレイロ,牡3,54.0,▲和田陽,今野,466(-4),栗東,2023104669,1223,ミスターメロディ,キタサンテンビー,ダイワメジャー,0.9876322493073243,7,-0.1601864839511919,7,,
7,5,8,アンバサダネージュ,牡3,54.0,▲佐藤,武藤,486(-12),美浦,2023103216,1207,シニスターミニスター,ヴォーグショコラ,アイルハヴアナザー,1.72571453172257,2,0.2527261647830431,2,,
8,5,9,バンダムソレール,牡3,54.0,▲森田,小栗,468(+2),栗東,2023102317,1222,ルーラーシップ,ボンボンキャスト,ゼンノロブロイ,0.3525054270774586,11,-0.5155017444542863,11,,
9,6,10,ジュエルサンライズ,牝3,53.0,◇古川奈,東田,474(-2),栗東,2023104826,1190,ロジャーバローズ,トシザコジーン,アドマイヤコジーン,0.27630911226526295,12,-0.558129000144446,12,,
10,6,11,リオダプラタ,牡3,54.0,▲遠藤,西田,540(0),美浦,2023102866,1218,アメリカンペイトリオット,コートゴシップ,ルーラーシップ,-0.44251279937152666,15,-0.9602666297470587,15,,
11,7,12,メイショウアルマ,牡3,57.0,松本,飯田,488(0),栗東,2023101936,1191,カリフォルニアクローム,メイショウアテン,ヴァーミリアン,1.1700983624593566,5,-0.05810766715680843,5,,
12,7,13,ヒーナシャム,牝3,55.0,小沢,橋口,424(+6),栗東,2023105333,1185,ミッキーアイル,ミーアシャム,キンシャサノキセキ,1.067122847869328,6,-0.1157162746212779,6,,
13,8,14,トゥントゥントゥン,牡3,54.0,▲上里,手塚久,420(+6),美浦,2023104606,1217,ダノンバラード,エアビオンディ,ロードカナロア,0.0003136010218745468,14,-0.7125318903118484,14,,
14,8,15,エナジーアユ,牝3,53.0,◇永島,荒川,440(-16),栗東,2023105737,1187,モズアスコット,エナジーラピス,ロードカナロア,0.561275489532899,10,-0.39870744994446466,10,,
