,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝,上り,通過,厩舎,馬体重,race_type,course_len,ground_state,class
202609040310,1,3,5,パシアンジャン,牡5,58.0,松山,0:1:51.3,,1,3.3,36.8,,栗東 鈴木孝,466(+2),ダート,1800,良,３勝クラス
202609040310,2,2,2,ペンナヴェローチェ,牡5,58.0,川田,0:1:52.3,6,6,11.5,37.3,,栗東 須貝,490(0),ダート,1800,良,３勝クラス
202609040310,3,6,10,レヴァンテシチー,牡4,58.0,吉村,0:1:52.4,1/2,5,10.6,37.3,,栗東 柴田,504(-4),ダート,1800,良,３勝クラス
202609040310,4,8,14,ブルーワール,牡5,58.0,田口,0:1:52.6,1.1/2,13,58.0,37.0,,栗東 高柳大,516(+2),ダート,1800,良,３勝クラス
202609040310,5,8,15,ルクスフレンジー,牡4,58.0,酒井,0:1:52.7,クビ,3,5.7,37.4,,栗東 松永幹,494(+12),ダート,1800,良,３勝クラス
202609040310,6,5,8,プリンセッサ,牝4,56.0,鮫島駿,0:1:52.7,クビ,11,43.0,37.9,,栗東 牧田,526(+6),ダート,1800,良,３勝クラス
202609040310,7,7,13,タガノマカシヤ,牡4,58.0,岩田望,0:1:52.7,ハナ,4,9.9,37.7,,栗東 中村,516(+14),ダート,1800,良,３勝クラス
202609040310,8,2,3,インザモーメント,セ5,58.0,武豊,0:1:52.9,1,7,25.3,37.8,,栗東 田中克,484(-2),ダート,1800,良,３勝クラス
202609040310,9,4,7,マテンロウブレイブ,牡4,58.0,横山典,0:1:53.1,1,2,3.7,36.5,,栗東 高橋亮,498(+10),ダート,1800,良,３勝クラス
202609040310,10,4,6,プルートマスター,牡7,58.0,松若,0:1:53.1,クビ,12,47.4,38.5,,栗東 今野,496(-6),ダート,1800,良,３勝クラス
202609040310,11,1,1,クロニクル,セ7,58.0,幸,0:1:53.7,3.1/2,15,69.6,38.9,,美浦 平岩,508(-2),ダート,1800,良,３勝クラス
202609040310,12,5,9,タイセイアディクト,牡5,58.0,坂井,0:1:54.1,2.1/2,10,36.7,38.4,,美浦 池上,498(+6),ダート,1800,良,３勝クラス
202609040310,13,7,12,ポルポラジール,牡5,58.0,田山,0:1:54.7,4,8,29.3,39.0,,栗東 新谷,518(-14),ダート,1800,良,３勝クラス
202609040310,14,3,4,スズカダブル,牡6,58.0,高杉,0:1:55.2,3,9,30.2,39.7,,栗東 西村,504(-2),ダート,1800,良,３勝クラス
202609040310,15,6,11,ノーランサンライズ,牝4,56.0,浜中,0:1:57.8,大,14,64.7,42.4,,栗東 佐藤悠,506(-4),ダート,1800,良,３勝クラス
