,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,シャンデルナゴル,牡6,60.0,中村,石坂,,4.4,2,栗東,2020103193,1101,サトノダイヤモンド,アガルタ,キングカメハメハ
1,2,2,アメリカンピース,セ8,60.0,小坂,東田,,42.5,9,栗東,2018110131,1063,Tapit,La Cloche,Ghostzapper
2,3,3,ローンウルフ,牡5,60.0,大江圭,武市,,42.0,8,美浦,2021104112,1120,リアルインパクト,シェリレーヌ,Mineshaft
3,4,4,ブラックボイス,牡7,60.0,坂口,浅利,,5.6,3,美浦,2019105276,1211,ブラックタイド,ソングライティング,Giant's Causeway
4,5,5,セイウンパシュート,セ6,60.0,水沼,上原博,,16.1,7,美浦,2020100233,1201,ハーツクライ,シーソルティキッス,キングカメハメハ
5,6,6,プラチナドリーム,牡7,60.0,高田,菊川,,2.4,1,美浦,2019106330,1046,ホッコータルマエ,サティーヌアロム,シンボリクリスエス
6,6,7,ビーンスターク,セ5,60.0,草野,粕谷,,117.3,11,美浦,2021103578,1113,ロジャーバローズ,アートオブビーン,アグネスデジタル
7,7,8,ローディアマント,セ6,60.0,伴,尾関,,8.7,6,美浦,2020101429,1149,サトノダイヤモンド,ブロッサムレーン,New Approach
8,7,9,ピーターサイト,セ6,60.0,上野,村田,,7.8,5,美浦,2020105611,1087,ワンアンドオンリー,ヴィクトリアアイ,ブライアンズタイム
9,8,10,パープルアドミラル,牡6,60.0,金子,堀内,,78.2,10,美浦,2020104328,1052,シビルウォー,ママノヨリミチ,マンハッタンカフェ
10,8,11,ヴェールランス,牡7,60.0,五十嵐,中舘,,7.0,4,美浦,2019104767,1069,キタサンブラック,ジュエラー,ヴィクトワールピサ
