クラス,血統,1着,2着,3着,着外
all,シニスターミニスター,3,0,2,6
all,ドレフォン,2,1,1,6
all,ヘニーヒューズ,2,1,1,5
all,ロードカナロア,1,2,0,8
all,Speightstown,1,1,0,0
all,タリスマニック,1,1,0,4
all,オルフェーヴル,1,0,1,3
all,キンシャサノキセキ,1,0,1,8
all,War Front,1,0,0,0
all,アメリカンペイトリオット,1,0,0,1
all,ドリームバレンチノ,1,0,0,1
all,ハーツクライ,1,0,0,5
all,バゴ,1,0,0,0
all,リアルインパクト,1,0,0,2
all,レッドファルクス,1,0,0,2
all,カレンブラックヒル,0,2,0,5
all,ディスクリートキャット,0,2,0,4
all,ダイワメジャー,0,1,1,2
all,キングカメハメハ,0,1,0,0
all,スクリーンヒーロー,0,1,0,3
all,デクラレーションオブウォー,0,1,0,1
all,ドゥラメンテ,0,1,0,5
all,ネロ,0,1,0,0
all,パイロ,0,1,0,4
all,ヘニーハウンド,0,1,0,0
all,ヤマカツエース,0,1,0,2
all,ブラックタイド,0,0,2,1
all,アジアエクスプレス,0,0,1,8
all,イスラボニータ,0,0,1,3
all,コパノリッキー,0,0,1,8
all,フサイチセブン,0,0,1,0
all,マインドユアビスケッツ,0,0,1,1
all,マクフィ,0,0,1,2
all,ミッキーアイル,0,0,1,2
all,ミッキーロケット,0,0,1,2
all,モーリス,0,0,1,3
all,リアルスティール,0,0,1,2
all,American Pharoah,0,0,0,1
all,Dialed In,0,0,0,1
all,Distorted Humor,0,0,0,1
all,Gleneagles,0,0,0,1
all,Mendelssohn,0,0,0,1
all,Mineshaft,0,0,0,1
all,Quality Road,0,0,0,1
all,アイファーソング,0,0,0,1
all,アイルハヴアナザー,0,0,0,1
all,アグネスデジタル,0,0,0,2
all,アニマルキングダム,0,0,0,1
all,アポロキングダム,0,0,0,0
all,インカンテーション,0,0,0,1
all,エイシンアポロン,0,0,0,1
all,エイシンヒカリ,0,0,0,2
all,エイシンフラッシュ,0,0,0,5
all,エスポワールシチー,0,0,0,5
all,エピファネイア,0,0,0,1
all,カリフォルニアクローム,0,0,0,1
all,キズナ,0,0,0,5
all,キタサンブラック,0,0,0,2
all,クリエイター,0,0,0,1
all,グレーターロンドン,0,0,0,1
all,ケイムホーム,0,0,0,2
all,コパノリチャード,0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,サウスヴィグラス,0,0,0,1
all,サトノアラジン,0,0,0,1
all,ザサンデーフサイチ,0,0,0,1
all,シャンハイボビー,0,0,0,1
all,シンボリクリスエス,0,0,0,1
all,ジャスタウェイ,0,0,0,1
all,ジョーカプチーノ,0,0,0,1
all,スズカコーズウェイ,0,0,0,1
all,ストロングリターン,0,0,0,5
all,スピルバーグ,0,0,0,2
all,スマートファルコン,0,0,0,1
all,ダノンシャーク,0,0,0,1
all,ダノンバラード,0,0,0,2
all,ダノンレジェンド,0,0,0,4
all,ダンカーク,0,0,0,1
all,ディープブリランテ,0,0,0,8
all,トゥザグローリー,0,0,0,2
all,トゥザワールド,0,0,0,2
all,トランセンド,0,0,0,3
all,トーセンジョーダン,0,0,0,1
all,トーセンラー,0,0,0,1
all,ノボジャック,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,ハクサンムーン,0,0,0,1
all,ハービンジャー,0,0,0,1
all,バトルプラン,0,0,0,1
all,パドトロワ,0,0,0,1
all,ビッグアーサー,0,0,0,1
all,ビーチパトロール,0,0,0,2
all,ファインニードル,0,0,0,2
all,フリオーソ,0,0,0,2
all,ベストウォーリア,0,0,0,2
all,ホッコータルマエ,0,0,0,4
all,マジェスティックウォリアー,0,0,0,6
all,マンハッタンカフェ,0,0,0,1
all,メイショウボーラー,0,0,0,1
all,モンテロッソ,0,0,0,1
all,モーニン,0,0,0,1
all,リオンディーズ,0,0,0,4
all,リーチザクラウン,0,0,0,1
all,ルーラーシップ,0,0,0,7
all,ローエングリン,0,0,0,1
all,ロージズインメイ,0,0,0,1
all,ワンアンドオンリー,0,0,0,1
all,ワールドエース,0,0,0,3
all,ヴァンセンヌ,0,0,0,1
all,ヴィクトワールピサ,0,0,0,1
1勝クラス,ヘニーヒューズ,1,1,1,2
1勝クラス,オルフェーヴル,1,0,1,0
1勝クラス,キンシャサノキセキ,1,0,1,4
1勝クラス,War Front,1,0,0,0
1勝クラス,シニスターミニスター,1,0,0,4
1勝クラス,バゴ,1,0,0,0
1勝クラス,リアルインパクト,1,0,0,0
1勝クラス,カレンブラックヒル,0,1,0,2
1勝クラス,キングカメハメハ,0,1,0,0
1勝クラス,ドゥラメンテ,0,1,0,0
1勝クラス,ドレフォン,0,1,0,3
1勝クラス,ネロ,0,1,0,0
1勝クラス,ロードカナロア,0,1,0,4
1勝クラス,フサイチセブン,0,0,1,0
1勝クラス,マインドユアビスケッツ,0,0,1,0
1勝クラス,モーリス,0,0,1,0
1勝クラス,リアルスティール,0,0,1,1
1勝クラス,Dialed In,0,0,0,1
1勝クラス,Gleneagles,0,0,0,1
1勝クラス,Mendelssohn,0,0,0,1
1勝クラス,Quality Road,0,0,0,1
1勝クラス,アイルハヴアナザー,0,0,0,1
1勝クラス,アジアエクスプレス,0,0,0,3
1勝クラス,アポロキングダム,0,0,0,0
1勝クラス,イスラボニータ,0,0,0,2
1勝クラス,エイシンアポロン,0,0,0,1
1勝クラス,エイシンフラッシュ,0,0,0,1
1勝クラス,エスポワールシチー,0,0,0,3
1勝クラス,エピファネイア,0,0,0,1
1勝クラス,カリフォルニアクローム,0,0,0,1
1勝クラス,キズナ,0,0,0,3
1勝クラス,キタサンブラック,0,0,0,1
1勝クラス,クリエイター,0,0,0,1
1勝クラス,グレーターロンドン,0,0,0,1
1勝クラス,ケイムホーム,0,0,0,1
1勝クラス,コパノリッキー,0,0,0,3
1勝クラス,シンボリクリスエス,0,0,0,1
1勝クラス,ジョーカプチーノ,0,0,0,1
1勝クラス,ストロングリターン,0,0,0,2
1勝クラス,タリスマニック,0,0,0,1
1勝クラス,ダノンバラード,0,0,0,1
1勝クラス,ダノンレジェンド,0,0,0,3
1勝クラス,ディープブリランテ,0,0,0,6
1勝クラス,デクラレーションオブウォー,0,0,0,1
1勝クラス,トゥザグローリー,0,0,0,1
1勝クラス,トゥザワールド,0,0,0,1
1勝クラス,トーセンジョーダン,0,0,0,1
1勝クラス,トーセンラー,0,0,0,1
1勝クラス,ドリームバレンチノ,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,1
1勝クラス,パイロ,0,0,0,3
1勝クラス,パドトロワ,0,0,0,1
1勝クラス,ファインニードル,0,0,0,1
1勝クラス,フリオーソ,0,0,0,1
1勝クラス,ベストウォーリア,0,0,0,1
1勝クラス,ホッコータルマエ,0,0,0,1
1勝クラス,マクフィ,0,0,0,1
1勝クラス,マジェスティックウォリアー,0,0,0,1
1勝クラス,ミッキーアイル,0,0,0,2
1勝クラス,モンテロッソ,0,0,0,1
1勝クラス,リオンディーズ,0,0,0,1
1勝クラス,リーチザクラウン,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,2
1勝クラス,レッドファルクス,0,0,0,1
1勝クラス,ローエングリン,0,0,0,1
1勝クラス,ワールドエース,0,0,0,2
2勝クラス,Speightstown,1,0,0,0
2勝クラス,ロードカナロア,1,0,0,0
2勝クラス,ダイワメジャー,0,1,0,0
2勝クラス,ヘニーハウンド,0,1,0,0
2勝クラス,ブラックタイド,0,0,2,1
2勝クラス,Mineshaft,0,0,0,1
2勝クラス,アジアエクスプレス,0,0,0,1
2勝クラス,エイシンフラッシュ,0,0,0,2
2勝クラス,エスポワールシチー,0,0,0,1
2勝クラス,カレンブラックヒル,0,0,0,1
2勝クラス,キズナ,0,0,0,1
2勝クラス,キンシャサノキセキ,0,0,0,3
2勝クラス,コパノリッキー,0,0,0,1
2勝クラス,ゴールドアリュール,0,0,0,1
2勝クラス,サウスヴィグラス,0,0,0,1
2勝クラス,スマートファルコン,0,0,0,1
2勝クラス,ダノンレジェンド,0,0,0,1
2勝クラス,ディープブリランテ,0,0,0,1
2勝クラス,トゥザグローリー,0,0,0,1
2勝クラス,トランセンド,0,0,0,1
2勝クラス,ドゥラメンテ,0,0,0,2
2勝クラス,ドレフォン,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,0
2勝クラス,フリオーソ,0,0,0,1
2勝クラス,リオンディーズ,0,0,0,1
3勝クラス,ドレフォン,1,0,1,0
3勝クラス,シニスターミニスター,1,0,0,0
3勝クラス,Speightstown,0,1,0,0
3勝クラス,スクリーンヒーロー,0,1,0,1
3勝クラス,ダイワメジャー,0,0,1,0
3勝クラス,American Pharoah,0,0,0,1
3勝クラス,Distorted Humor,0,0,0,1
3勝クラス,カレンブラックヒル,0,0,0,1
3勝クラス,キズナ,0,0,0,1
3勝クラス,キタサンブラック,0,0,0,1
3勝クラス,ケイムホーム,0,0,0,1
3勝クラス,コパノリッキー,0,0,0,0
3勝クラス,スピルバーグ,0,0,0,1
3勝クラス,トゥザワールド,0,0,0,1
3勝クラス,ドゥラメンテ,0,0,0,3
3勝クラス,ハーツクライ,0,0,0,1
3勝クラス,ヘニーヒューズ,0,0,0,1
3勝クラス,ホッコータルマエ,0,0,0,1
