クラス,血統,1着,2着,3着,着外
all,ニューイヤーズデイ,3,2,0,2
all,Good Magic,1,2,0,0
all,ロードカナロア,1,1,0,2
all,アポロソニック,1,0,0,1
all,シニスターミニスター,1,0,0,1
all,フェノーメノ,1,0,0,0
all,ヘニーヒューズ,1,0,0,1
all,ドゥラメンテ,0,1,1,5
all,サトノアラジン,0,1,0,1
all,ハーツクライ,0,1,0,5
all,ルヴァンスレーヴ,0,1,0,0
all,ドレフォン,0,0,2,6
all,ホッコータルマエ,0,0,2,6
all,キタサンブラック,0,0,1,1
all,サンダースノー,0,0,1,0
all,シャンハイボビー,0,0,1,0
all,ジャスタウェイ,0,0,1,6
all,American Pharoah,0,0,0,1
all,Liam's Map,0,0,0,2
all,Mor Spirit,0,0,0,1
all,アジアエクスプレス,0,0,0,1
all,アドミラブル,0,0,0,1
all,アポロキングダム,0,0,0,2
all,イスラボニータ,0,0,0,1
all,エピカリス,0,0,0,1
all,エピファネイア,0,0,0,1
all,オルフェーヴル,0,0,0,2
all,カリフォルニアクローム,0,0,0,1
all,キズナ,0,0,0,2
all,キングカメハメハ,0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,ゴールドシップ,0,0,0,1
all,サトノアレス,0,0,0,1
all,サトノクラウン,0,0,0,1
all,サトノダイヤモンド,0,0,0,1
all,シルバーステート,0,0,0,1
all,タリスマニック,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,ダンカーク,0,0,0,1
all,ニシケンモノノフ,0,0,0,1
all,ハービンジャー,0,0,0,3
all,パイロ,0,0,0,1
all,ブリックスアンドモルタル,0,0,0,4
all,マインドユアビスケッツ,0,0,0,0
all,マクフィ,0,0,0,2
all,マジェスティックウォリアー,0,0,0,3
all,メイショウサムソン,0,0,0,1
all,モーニン,0,0,0,1
all,モーリス,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リアルスティール,0,0,0,3
all,リオンディーズ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,レイデオロ,0,0,0,3
all,ロージズインメイ,0,0,0,2
all,ワンアンドオンリー,0,0,0,3
all,ワールドエース,0,0,0,1
1勝クラス,ニューイヤーズデイ,2,1,0,1
1勝クラス,アポロソニック,1,0,0,0
1勝クラス,ロードカナロア,1,0,0,0
1勝クラス,Good Magic,0,1,0,0
1勝クラス,サトノアラジン,0,1,0,1
1勝クラス,ルヴァンスレーヴ,0,1,0,0
1勝クラス,シャンハイボビー,0,0,1,0
1勝クラス,ジャスタウェイ,0,0,1,3
1勝クラス,ドゥラメンテ,0,0,1,1
1勝クラス,ドレフォン,0,0,1,0
1勝クラス,アドミラブル,0,0,0,1
1勝クラス,アポロキングダム,0,0,0,2
1勝クラス,オルフェーヴル,0,0,0,1
1勝クラス,キズナ,0,0,0,2
1勝クラス,キングカメハメハ,0,0,0,1
1勝クラス,サトノアレス,0,0,0,1
1勝クラス,サトノダイヤモンド,0,0,0,1
1勝クラス,シニスターミニスター,0,0,0,1
1勝クラス,シルバーステート,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,2
1勝クラス,ニシケンモノノフ,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,3
1勝クラス,ハービンジャー,0,0,0,3
1勝クラス,ブリックスアンドモルタル,0,0,0,2
1勝クラス,ヘニーヒューズ,0,0,0,1
1勝クラス,ホッコータルマエ,0,0,0,4
1勝クラス,マインドユアビスケッツ,0,0,0,0
1勝クラス,マクフィ,0,0,0,1
1勝クラス,マジェスティックウォリアー,0,0,0,1
1勝クラス,モーニン,0,0,0,1
1勝クラス,ラブリーデイ,0,0,0,1
1勝クラス,リアルスティール,0,0,0,2
1勝クラス,リーチザクラウン,0,0,0,1
1勝クラス,レイデオロ,0,0,0,3
2勝クラス,Good Magic,1,1,0,0
2勝クラス,ニューイヤーズデイ,1,1,0,1
2勝クラス,シニスターミニスター,1,0,0,0
2勝クラス,フェノーメノ,1,0,0,0
2勝クラス,ヘニーヒューズ,1,0,0,0
2勝クラス,ドゥラメンテ,0,1,0,4
2勝クラス,ハーツクライ,0,1,0,2
2勝クラス,ロードカナロア,0,1,0,2
2勝クラス,ホッコータルマエ,0,0,2,2
2勝クラス,キタサンブラック,0,0,1,1
2勝クラス,サンダースノー,0,0,1,0
2勝クラス,ドレフォン,0,0,1,6
2勝クラス,American Pharoah,0,0,0,1
2勝クラス,Liam's Map,0,0,0,2
2勝クラス,Mor Spirit,0,0,0,1
2勝クラス,アジアエクスプレス,0,0,0,1
2勝クラス,アポロソニック,0,0,0,1
2勝クラス,イスラボニータ,0,0,0,1
2勝クラス,エピカリス,0,0,0,1
2勝クラス,エピファネイア,0,0,0,1
2勝クラス,オルフェーヴル,0,0,0,1
2勝クラス,カリフォルニアクローム,0,0,0,1
2勝クラス,ゴールドアリュール,0,0,0,1
2勝クラス,ゴールドシップ,0,0,0,1
2勝クラス,サトノクラウン,0,0,0,1
2勝クラス,ジャスタウェイ,0,0,0,3
2勝クラス,タリスマニック,0,0,0,1
2勝クラス,ダンカーク,0,0,0,1
2勝クラス,パイロ,0,0,0,1
2勝クラス,ブリックスアンドモルタル,0,0,0,2
2勝クラス,マクフィ,0,0,0,1
2勝クラス,マジェスティックウォリアー,0,0,0,2
2勝クラス,メイショウサムソン,0,0,0,1
2勝クラス,モーリス,0,0,0,1
2勝クラス,リアルスティール,0,0,0,1
2勝クラス,リオンディーズ,0,0,0,1
2勝クラス,ロージズインメイ,0,0,0,2
2勝クラス,ワンアンドオンリー,0,0,0,3
2勝クラス,ワールドエース,0,0,0,1
