,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ココモフィーバー,牝2,53.0,△田山,池添,414(0),---.-,**,栗東,2024105595,01220,インディチャンプ,ポルケテスエーニョ,Medaglia d'Oro,1.4414584642588824,8,0.5547813657524738,2,0.07066680058551877,9
1,2,2,プリンキピッサ,牝2,55.0,西村淳,高野,448(0),---.-,**,栗東,2024106888,01171,エフフォーリア,クイーンカトリーン,Acclamation,1.3324286467702917,9,0.3430584036009217,9,0.10250794752664713,8
2,3,3,ブルーチップ,牡2,55.0,高杉,岡田,512(0),---.-,**,栗東,2024100690,01213,ファインニードル,プリティーアセット,Shamardal,0.6320599919867562,12,-0.03769896262397554,12,-0.24272197878645013,13
3,4,4,ワイドアイリー,牝2,55.0,幸,藤野,434(0),---.-,**,栗東,2024102341,00732,ビッグアーサー,ティアドーロ,ハーツクライ,0.3573746742407482,13,-0.5033672116976629,13,-0.20053086950741283,12
4,4,5,チョウチャンピオン,牡2,55.0,長岡,羽月,380(0),---.-,**,栗東,2024103210,01142,ノーブルミッション,カルストンハイネ,カルストンライトオ,1.7093182681886399,3,0.37435283426117383,6,0.38574733331350436,2
5,5,6,シャローフォレスト,牝2,55.0,コレット,安田,500(0),---.-,**,栗東,2024106299,05691,ミスターメロディ,グランワルツ,ロードカナロア,1.691256082435486,4,0.4719207971290296,5,0.31655656210193206,4
6,5,7,ナミオトノヒビキ,牝2,55.0,団野,渡辺,406(0),---.-,**,栗東,2024105858,01180,ルーラーシップ,サザナミ,ディープインパクト,0.9333274817949702,10,0.20772136582861722,11,-0.14004959509755446,10
7,6,8,カシノスワッグ,牡2,53.0,◇永島,天間,462(0),---.-,**,美浦,2024100140,01187,ビーチパトロール,アメリカズハート,バロズハート,1.6538466325997025,6,0.5327646584328819,4,0.2525410412260317,7
8,6,9,テーオージャスミン,牝2,55.0,吉村,藤野,430(0),---.-,**,栗東,2024101223,01216,ダノンスマッシュ,テーオープライム,アイルハヴアナザー,1.6679930748960459,5,0.5383321075357378,3,0.2607062151085035,6
9,7,10,ディーエスシン,牡2,55.0,松山,橋口,450(0),---.-,**,栗東,2024103672,01126,ファインニードル,ラブカンプー,ショウナンカンプ,0.9078775973870785,11,0.2645250777709114,10,-0.19225164667374806,11
10,7,11,マルモリマイベスト,牡2,55.0,泉谷,緒方,418(0),---.-,**,栗東,2024108132,01182,ゴールドアクター,エイシンオリヒメ,ロードカナロア,1.5861397882526924,7,0.34874252780342896,8,0.3018121519797445,5
11,8,12,ルマンサルト,牡2,55.0,田口,吉田,434(0),---.-,**,栗東,2024101749,01208,インディチャンプ,カツンダモン,エンパイアメーカー,1.842645599074045,1,0.6044729396164603,1,0.36297066502847164,3
12,8,13,ゴールドショーマン,牡2,55.0,松若,高橋一,404(0),---.-,**,栗東,2024100628,01154,サトノクラウン,ヒバリ,エピファネイア,1.7150353159734784,2,0.3718938313617758,7,0.3916907851971347,1
