,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,スタースポット,牡2,55.0,坂井,林,500(0),---.-,2,美浦,2024106264,1163,エフフォーリア,キャレモンショコラ,サクラバクシンオー,0.6133373660777571,9,0.0576114556154294,2,-0.2995751857652096,11
1,2,2,コスモバルムンク,牡2,55.0,三浦,小手川,436(0),---.-,6,美浦,2024103610,1122,ダノンバラード,ナーゲルリング,レッドスパーダ,-0.0580861535161797,13,-0.2899680283242267,12,-0.4841732167670379,14
2,3,3,サノノファイター,牡2,55.0,丸山,栗田,478(0),---.-,5,美浦,2024106814,1127,グレーターロンドン,フライングニンバス,Awesome Again,0.6558901750149573,7,-0.019931183974378,5,-0.1962130114809605,8
3,3,4,マジックファイト,牡2,55.0,柴田大,和田雄,486(0),---.-,14,美浦,2024104660,1009,タニノフランケル,マジックポーション,Danehill Dancer,0.6928720017575971,5,-0.0680549727896854,8,-0.124119709981134,7
4,4,5,コルサロ,牡2,55.0,杉原,中竹,438(0),---.-,8,栗東,2024104709,1135,カレンブラックヒル,フェレッティ,ルーラーシップ,0.690222696055628,6,-0.1018347577314199,9,-0.0950137703684671,5
5,4,6,ハンデンブレイズ,牡2,55.0,小崎,伊藤大,470(0),---.-,11,美浦,2024105416,1152,ファインニードル,ハタノディアマンテ,エンパイアメーカー,1.5778789604699526,1,0.3424646187574782,1,0.1630440668412576,2
6,5,7,フェリスセンダ,牝2,55.0,北村宏,本間,416(0),---.-,10,美浦,2024103412,1043,エフフォーリア,プリンセスルーシー,Strategic Prince,0.90818924719762,4,-0.0652777739598827,7,0.035133550217281,3
7,5,8,リベラリズモ,牝2,52.0,▲石神道,室井,408(0),---.-,9,美浦,2024103279,1209,ウインブライト,マイネリベルタス,コンデュイット,0.5696792652225038,10,-0.1954554328064727,11,-0.0994165799768373,6
8,6,9,ブックオブケルズ,牡2,55.0,北村友,高野,512(0),---.-,1,栗東,2024106356,1102,リアルスティール,シャンブルドット,Lope de Vega,0.0154566358843282,12,-0.4411004583991114,14,-0.2897771791955798,10
9,6,10,グルドロッティン,牡2,55.0,津村,矢嶋,470(0),---.-,3,美浦,2024106562,1092,ルーラーシップ,ブロンディーヴァ,スマートファルコン,0.6544275890044922,8,0.0550695280444765,3,-0.2663560398358218,9
10,7,11,グラスクラージュ,牡2,55.0,木幡巧,牧,482(0),---.-,13,美浦,2024104494,1162,シャンハイボビー,グラスエトワール,ヴァーミリアン,0.9359508164226764,3,-0.0349093824447918,6,0.0280398060747515,4
11,7,12,レディレックス,牝2,55.0,菊沢,秋本,496(0),---.-,12,美浦,2024101791,1161,ヴァンゴッホ,サンマルクイーン,ダイワメジャー,-0.1416509869894019,14,-0.3599863453075712,13,-0.4825145655937055,13
12,8,13,ノーブルグランツ,牡2,55.0,荻野極,久保田,482(0),---.-,7,美浦,2024105980,1160,モーリス,ノーブルカリナン,ディープインパクト,0.5517011823021704,11,0.0507112694748509,4,-0.3395423343013591,12
13,8,14,ロードムーブオン,牡2,55.0,戸崎圭,佐藤悠,506(0),---.-,4,栗東,2024105269,5386,エフフォーリア,アイポステリー,ロードカナロア,1.202056459095153,2,-0.1284583293456434,10,0.3141359025259319,1
