,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ジャスパーグレイト,牡7,60.0,小坂,森秀,,17.7,9,栗東,2019110088,1063,Arrogate,Shop Again,Wild Again
1,2,2,シグムンド,牡5,60.0,伴,岩戸,,6.3,3,美浦,2021106353,1149,アポロキングダム,アポロプリンセス,カネヒキリ
2,3,3,トーアマリシテン,セ5,60.0,五十嵐,小島,,3.4,1,美浦,2021105335,1069,ビーチパトロール,トーアヒミコ,クロフネ
3,3,4,アウルムレガリア,牝4,58.0,中村,粕谷,,84.4,14,美浦,2022103503,1101,リオンディーズ,オートクレール,デュランダル
4,4,5,フェイトライン,牡4,60.0,高田,斉藤崇,,16.8,7,栗東,2022104992,1046,サトノアラジン,フェイトカラー,サクラバクシンオー
5,4,6,モスクロッサー,セ5,57.0,▲坂口,大竹,,6.4,4,美浦,2021105501,1211,ハーツクライ,クリスプ,El Corredor
6,5,7,スノーリン,セ4,60.0,江田勇,和田雄,,12.0,6,美浦,2022103588,1023,ノヴェリスト,レットイットスノー,ハーツクライ
7,5,8,ブライテストドーン,セ6,60.0,黒岩,田島,,28.1,10,美浦,2020102956,1072,マインドユアビスケッツ,デザートオブムーン,ゼンノロブロイ
8,6,9,クラウンウルル,牡4,57.0,▲土田,菊川,,48.2,12,美浦,2022101278,1198,レッドファルクス,クラウンシトラス,スニッツェル
9,6,10,サラフィエル,セ7,60.0,大江圭,鈴木慎,,30.6,11,美浦,2019101464,1120,ヤマニンセラフィム,ティフィン,トワイニング
10,7,11,エポカスピーガ,牝4,58.0,草野,田中剛,,6.1,2,美浦,2022101532,1113,エポカドーロ,インドリヤ,Stormy Atlantic
11,7,12,トモジャシャトー,牡5,57.0,▲水沼,小笠,,67.5,13,美浦,2021101041,1201,デクラレーションオブウォー,ジーニマジック,ダイワメジャー
12,8,13,ノブダブルホワイト,牡4,60.0,難波,松永康,,16.8,8,美浦,2022101614,1066,バゴ,ステルス,ディープインパクト
13,8,14,ゲレル,牝4,58.0,小牧加,小野,,9.1,5,美浦,2022101203,1196,ブラックタイド,シナル,キングカメハメハ
