,race_id,日付,開催,天気,R,レース名,class,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,race_type,course_len,ground_state,タイム,着差,通過,上り,馬体重,勝ち馬 (2着馬)
0,202605020607,2026/05/10,東京,晴,07,4歳以上1勝クラス,1勝クラス,16,4,8,31.3,8,5,三浦皇成,58,ダート,1300,良,0:1:19.2,0.5,10-8,36.0,516,キミハスコール
1,202606030807,2026/04/19,中山,晴,07,4歳以上1勝クラス,1勝クラス,13,7,11,23.2,8,7,三浦皇成,58,ダート,1200,良,0:1:11.8,1.1,5-5,37.3,512,サヨノジャンボリー
2,202606030208,2026/03/29,中山,晴,08,4歳以上1勝クラス,1勝クラス,16,1,1,91.6,12,9,杉原誠人,58,ダート,1200,稍重,0:1:12.3,1.0,16-14,36.1,518,ルイステソーロ
3,202606020508,2026/03/14,中山,晴,08,4歳以上1勝クラス,1勝クラス,16,5,10,8.3,3,11,荻野極,58,ダート,1200,良,0:1:12.2,0.9,7-7,37.4,518,アイアムイチバン
4,202606010312,2026/01/10,中山,晴,12,4歳以上1勝クラス,1勝クラス,16,6,12,28.8,9,6,北村宏司,58,ダート,1200,良,0:1:13.3,0.8,9-10,37.5,532,キボウノホシ
5,202505040912,2025/10/26,東京,小雨,12,3歳以上1勝クラス,1勝クラス,16,6,12,75.8,12.0,16,石川裕紀,56.0,ダート,1600,不良,0:1:38.1,2.4,9-9,37.0,518,チュウワチーフ
6,202505040407,2025/10/12,東京,曇,07,3歳以上1勝クラス,1勝クラス,16,4,8,23.6,9.0,10,石橋脩,56.0,ダート,1600,良,0:1:39.5,1.2,15-13,36.5,508,アデランテ
7,202504020310,2025/08/02,新潟,晴,10,3歳以上1勝クラス,1勝クラス,13,3,3,24.8,7.0,7,石橋脩,55.0,ダート,1800,良,0:1:55.1,2.5,12-12-8-9,39.5,510,ファリーザ
8,202505020906,2025/05/24,東京,曇,06,3歳1勝クラス,1勝クラス,13,1,1,---,,取,北村宏司,57.0,ダート,1600,良,,,,,計不,フィリップバローズ
9,202505020106,2025/04/26,東京,曇,06,3歳1勝クラス,1勝クラス,16,8,16,204.4,14.0,10,北村宏司,57.0,ダート,1600,稍重,0:1:37.5,0.3,1-1,36.8,506,トルショー
10,202505010703,2025/02/22,東京,晴,03,3歳未勝利,未勝利,16,5,9,7.3,4.0,1,北村宏司,57.0,ダート,1600,良,0:1:40.3,-0.0,7-7,36.4,514,(ピコシー)
11,202405050501,2024/11/16,東京,曇,01,2歳未勝利,未勝利,16,8,16,5.5,4.0,5,北村宏司,56.0,ダート,1600,良,0:1:40.2,1.1,9-8,38.0,512,スクレイピング
12,202405040703,2024/10/26,東京,曇,03,2歳未勝利,未勝利,16,5,9,57.8,7.0,5,北村宏司,56.0,ダート,1600,良,0:1:39.2,0.6,10-9,37.6,518,アレスグート
13,202401020505,2024/08/24,札幌,晴,05,2歳新馬,新馬,12,8,11,21.4,5.0,9,佐々木大,55.0,ダート,1700,良,0:1:52.0,2.0,5-5-2-7,41.3,510,グランジョルノ
