クラス,血統,1着,2着,3着,着外
all,アドマイヤムーン,1,1,0,1
all,ダイワメジャー,1,1,0,0
all,ステイゴールド,1,0,0,1
all,ブレイクランアウト,1,0,0,1
all,マンハッタンカフェ,1,0,0,1
all,Take Charge Indy,0,1,0,0
all,ディープインパクト,0,1,0,4
all,ルーラーシップ,0,1,0,2
all,Authorized,0,0,1,0
all,キングヘイロー,0,0,1,0
all,クロフネ,0,0,1,1
all,ケイムホーム,0,0,1,0
all,モンテロッソ,0,0,1,2
all,Congrats,0,0,0,1
all,Dawn Approach,0,0,0,1
all,Stormy Atlantic,0,0,0,1
all,アイルハヴアナザー,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アポロキングダム,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,キャプテントゥーレ,0,0,0,1
all,キングカメハメハ,0,0,0,1
all,キングズベスト,0,0,0,1
all,キンシャサノキセキ,0,0,0,1
all,コンデュイット,0,0,0,1
all,サウスヴィグラス,0,0,0,1
all,サマーバード,0,0,0,1
all,ダノンシャンティ,0,0,0,1
all,トビーズコーナー,0,0,0,1
all,トランセンド,0,0,0,2
all,トーセンホマレボシ,0,0,0,1
all,トーセンラー,0,0,0,1
all,ネオユニヴァース,0,0,0,1
all,ハーツクライ,0,0,0,0
all,ハービンジャー,0,0,0,1
all,パイロ,0,0,0,1
all,ホワイトマズル,0,0,0,1
all,マツリダゴッホ,0,0,0,4
all,マーベラスサンデー,0,0,0,2
all,メイショウサムソン,0,0,0,1
all,メイショウボーラー,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ローズキングダム,0,0,0,1
all,ロードカナロア,0,0,0,2
all,ヴァーミリアン,0,0,0,1
オープン,ダイワメジャー,1,1,0,0
オープン,ケイムホーム,0,0,1,0
オープン,Stormy Atlantic,0,0,0,1
オープン,アイルハヴアナザー,0,0,0,1
オープン,クロフネ,0,0,0,1
オープン,サウスヴィグラス,0,0,0,1
オープン,ステイゴールド,0,0,0,1
オープン,トランセンド,0,0,0,1
オープン,マツリダゴッホ,0,0,0,1
オープン,ルーラーシップ,0,0,0,1
未勝利,アドマイヤムーン,1,1,0,1
未勝利,ステイゴールド,1,0,0,0
未勝利,ブレイクランアウト,1,0,0,1
未勝利,マンハッタンカフェ,1,0,0,1
未勝利,Take Charge Indy,0,1,0,0
未勝利,ディープインパクト,0,1,0,4
未勝利,ルーラーシップ,0,1,0,1
未勝利,Authorized,0,0,1,0
未勝利,キングヘイロー,0,0,1,0
未勝利,クロフネ,0,0,1,0
未勝利,モンテロッソ,0,0,1,2
未勝利,Congrats,0,0,0,1
未勝利,Dawn Approach,0,0,0,1
未勝利,アグネスデジタル,0,0,0,1
未勝利,アポロキングダム,0,0,0,1
未勝利,エイシンフラッシュ,0,0,0,1
未勝利,キャプテントゥーレ,0,0,0,1
未勝利,キングカメハメハ,0,0,0,1
未勝利,キングズベスト,0,0,0,1
未勝利,キンシャサノキセキ,0,0,0,1
未勝利,コンデュイット,0,0,0,1
未勝利,サマーバード,0,0,0,1
未勝利,ダノンシャンティ,0,0,0,1
未勝利,トビーズコーナー,0,0,0,1
未勝利,トランセンド,0,0,0,1
未勝利,トーセンホマレボシ,0,0,0,1
未勝利,トーセンラー,0,0,0,1
未勝利,ネオユニヴァース,0,0,0,1
未勝利,ハーツクライ,0,0,0,0
未勝利,ハービンジャー,0,0,0,1
未勝利,パイロ,0,0,0,1
未勝利,ホワイトマズル,0,0,0,1
未勝利,マツリダゴッホ,0,0,0,3
未勝利,マーベラスサンデー,0,0,0,2
未勝利,メイショウサムソン,0,0,0,1
未勝利,メイショウボーラー,0,0,0,1
未勝利,リーチザクラウン,0,0,0,1
未勝利,ローズキングダム,0,0,0,1
未勝利,ロードカナロア,0,0,0,2
未勝利,ヴァーミリアン,0,0,0,1
