,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,インフィオラータ,牝3,55.0,浜中,須貝,444(0),---.-,7,栗東,2023102923,1115,サートゥルナーリア,トウシンハンター,エンパイアメーカー,0.2529258771202276,6,-0.8234802223747681,12,-0.05325345580306978,2
1,1,2,ララニューディー,牡3,57.0,横山琉,大竹,510(0),---.-,2,美浦,2023101857,1192,サートゥルナーリア,ララプリムヴェール,クロフネ,0.7135782525381617,2,-0.11445945437870272,4,-0.17371126886882068,5
2,2,3,オケアノステソーロ,牡3,57.0,大野,田中剛,464(0),---.-,15,美浦,2023101446,1096,ジャスタウェイ,キトゥンブルー,ダンスインザダーク,0.2117913029180481,7,-0.5562838523912315,7,-0.19821011676872202,6
3,2,4,エグジスタンス,牡3,57.0,佐々木,奥村豊,488(+2),---.-,6,栗東,2023103155,1197,フィエールマン,キントラ,Kingman,0.1463091813086777,8,-0.7125820050543883,11,-0.15493435035731246,4
4,3,5,クールフィデル,牡3,57.0,横山和,和田勇,476(-6),---.-,5,美浦,2023103483,1140,サートゥルナーリア,デルマコイウタ,ディープブリランテ,-0.1449257954996099,10,-0.49493288521153844,6,-0.3925080168708716,13
5,3,6,ヘイマー,牡3,56.0,☆長浜,伊藤伸,512(+5),---.-,16,美浦,2023105553,1214,アドマイヤムーン,ヴァレリカ,Dynaformer,-0.5645966135933889,15,-0.9520608925389811,13,-0.37172333038651467,11
6,4,7,ゲフィオン,牝3,55.0,北村友,辻野,448(+6),---.-,9,栗東,2023106990,1102,エピファネイア,グルヴェイグ,ディープインパクト,0.4863802529567106,4,-1.237834455214958,15,0.25020378436495766,1
7,4,8,マンサニージャ,牝3,55.0,横山武,菊川,436(+2),---.-,4,美浦,2023106411,1170,ダノンバラード,マイネアロマ,ロージズインメイ,-2.064816756707785,16,-1.5499655916241513,16,-0.7856162369227703,16
8,5,9,ラウターユーベル,牡3,57.0,小沢,青木,514(-6),---.-,13,美浦,2023102358,1185,ミッキーグローリー,アワフレイム,Stroll,-0.1994691835583181,12,-0.6445068239828317,9,-0.3473284385708782,10
9,5,10,アルケミラモリス,牝3,52.0,▲大久保,粕谷,462(0),---.-,11,美浦,2023102074,1194,ロジャーバローズ,フィールマイハート,マリエンバード,0.5692956808535307,3,-0.10518508108138734,3,-0.24497800966109493,7
10,6,11,エアヴァイブス,牝3,55.0,武豊,福永,432(+6),---.-,1,栗東,2023106910,666,コントレイル,エアジーン,ハービンジャー,0.05810693204033596,9,-0.2113601506250087,5,-0.4319707591532363,14
11,6,12,ウインラファーガ,牡3,57.0,丹内,村田,454(+8),---.-,10,美浦,2023105888,1091,ウインブライト,フラワーウィンド,タニノギムレット,-0.15140801628960998,11,-0.7065280757266952,10,-0.2958245329157245,9
12,7,13,ケナゲ,牝3,51.0,★河原田,和田雄,442(0),---.-,14,美浦,2023102166,1204,アニマルキングダム,レディバゴ,バゴ,0.3248436561459156,5,0.3356897489478012,1,-0.5660290301657815,15
13,7,14,アイムイン,牡3,57.0,岩田望,加藤征,420(-2),---.-,3,美浦,2023107111,1174,シルバーステート,ツルマルワンピース,キングカメハメハ,-0.4258340974379712,14,-1.0533634993743834,14,-0.2596586607596688,8
14,8,15,ラップトップ,牝3,54.0,☆舟山,小栗,402(0),---.-,8,栗東,2023100238,1221,リオンリオン,ラベ,ダンスインザダーク,1.0657048554676667,1,0.03043384973335333,2,-0.07870978765563687,3
15,8,16,ダンツアラーム,牝3,52.0,▲遠藤,本田,430(-2),---.-,12,栗東,2023104027,1218,リアルスティール,ビクトリアスマイル,ノヴェリスト,-0.2778855282625918,13,-0.6375616843447428,8,-0.3869586173386931,12
