,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ブランヴァンダイク,牡3,55.0,小沢,辻野,428(-6),---.-,8,栗東,2023107194,1185,エピファネイア,ブランノワール,ロードカナロア,0.708152314223259,3,0.2387029039432682,1,-0.37260510054536533,4
1,2,2,コスモナエマ,牝3,52.0,☆長浜,手塚久,480(-2),---.-,4,美浦,2023106443,1214,ダノンバラード,サザンスピード,Southern Image,-0.9176471516121611,10,-0.8629423014955879,10,-0.4524951463723596,8
2,3,3,グランアルト,牡3,55.0,斎藤,斎藤誠,512(+8),---.-,9,美浦,2023104156,1178,ワールドプレミア,ハクモクレン,シャンハイボビー,-0.9107566944214589,9,-0.42352786807311665,8,-0.7816770859400961,11
3,4,4,メイショウテンク,牡3,55.0,吉田隼,荒川,448(-2),---.-,1,栗東,2023105021,1095,ポエティックフレア,フェルトベルク,ブラックタイド,0.11205919629309932,4,-0.05472291471944182,4,-0.48564230324838986,9
4,5,5,ディーリライズ,牡3,55.0,浜中,緒方,484(+2),---.-,6,栗東,2023100521,1115,ディーマジェスティ,トーセンディオール,キングカメハメハ,-0.9943156919338065,11,-0.9731231114684092,11,-0.41212639652813676,6
5,6,6,マカナアネラ,牡3,55.0,松本,角田,458(+6),---.-,3,栗東,2023103875,1191,サトノアラジン,ブリスフルデイズ,キングカメハメハ,-0.02498850656922047,6,-0.0032394391541063494,3,-0.6017864443869636,10
6,6,7,サウンドサンライズ,牝4,56.0,佐々木,東田,418(0),---.-,7,栗東,2022105060,1197,モーリス,マハーバーラタ,ディープインパクト,1.2042450902302537,2,-0.13611112694287875,5,0.19065876520562008,1
7,7,8,アイドクレース,牝3,50.0,▲小林美,金成,418(0),---.-,5,美浦,2023104487,1206,ダノンバラード,ビジュティエ,オルフェーヴル,-0.163885903933985,7,-0.3380824384422742,6,-0.42615068483341434,7
8,7,9,エオアリイ,牡4,57.0,☆舟山,平岩,480(+8),---.-,10,美浦,2022103222,1221,ドゥラメンテ,ステラエージェント,More Than Ready,-0.0005051132454109153,5,-0.3875019059410346,7,-0.2967524171319464,3
9,8,10,ゴガツノアマノガワ,牡4,58.0,丹内,清水英,458(-6),---.-,11,美浦,2022100922,1091,ガルボ,アドリアーネ,アグネスデジタル,-0.2668358907853876,8,-0.43373236064033255,9,-0.4115853016885188,5
10,8,11,ドウアドバンテージ,牡5,58.0,武豊,四位,490(-4),---.-,2,栗東,2021105050,666,ハーツクライ,サラーシス,Sharp Humor,1.2544783517548184,1,0.01744522511939231,2,0.1025369297349033,2
