,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,キセログラフィカ,牡3,57.0,横山武,大和田,502(0),---.-,2,美浦,2023105682,1170,ナダル,バニーテール,カネヒキリ,0.523066319210975,3,0.0,5,0.0,5
1,2,2,サクセスブルー,牡3,57.0,佐々木,秋本,434(+4),---.-,7,美浦,2023106106,1197,レイデオロ,ブルレジーナ,ハーツクライ,0.523066319210975,3,0.0,5,0.0,5
2,3,3,ハイランダー,牡3,57.0,吉田隼,大竹,470(-2),---.-,8,美浦,2023103504,1095,スワーヴリチャード,パンズラビリンス,メイショウサムソン,-0.47407645532030784,9,-0.16043718295471324,11,0.0,5
3,4,4,ホウオウファラオ,牡3,57.0,岩田康,奥村武,476(0),---.-,5,美浦,2023105365,5203,American Pharoah,マールボロロード,The Gurkha,0.523066319210975,3,0.0,5,0.0,5
4,5,5,トーレス,牡3,57.0,古川吉,秋山,464(+4),---.-,12,栗東,2023100645,1015,シルバーステート,ロイヤルライン,クロフネ,-0.5824752775741581,10,0.0,5,-0.22048668701836763,11
5,5,6,エコロアビス,牝3,54.0,☆舟山,牧浦,470(-4),---.-,4,栗東,2023102982,1221,ロジャーバローズ,ピサノルビー,ブライアンズタイム,-0.8602246395422537,12,-0.2225672293853942,12,0.0,5
6,6,7,ミスチヴマリアンヌ,牝3,52.0,▲大久保,小野,440(0),---.-,10,美浦,2023103231,1194,ミスチヴィアスアレックス,マイネマリアンヌ,ダイワメジャー,-0.4226871431684221,8,0.0257094157511153,1,-0.22048668701836763,11
7,6,8,ルージュアイラ,牝3,53.0,△鷲頭,池江,408(+4),---.-,9,栗東,2023105270,1202,ドレフォン,ヴィルトゥース,ディープインパクト,0.523066319210975,3,0.0,5,0.0,5
8,7,9,コイオステソーロ,牡3,57.0,丹内,高木,530(0),---.-,1,美浦,2023104193,1091,ナダル,クァンタムミス,Smoke Glacken,0.523066319210975,3,0.0,5,0.0,5
9,7,10,チリンドリ,牡3,57.0,松本,昆,502(-4),---.-,6,栗東,2023102461,1191,シュウジ,カーニバルダクス,Bernardini,-0.21645912208655033,7,-0.11898735221832954,10,0.0,5
10,8,11,ホウオウバトラー,牡3,56.0,☆長浜,尾形,530(+4),---.-,11,美浦,2023102430,1214,ダノンバラード,ラヴタクティクス,バトルプラン,-0.5824752775741581,10,0.0,5,-0.22048668701836763,11
11,8,12,シンエンドーツダ,牡3,57.0,原田和,萱野,462(-6),---.-,3,美浦,2023103621,1143,イスラボニータ,エンドーツダ,タートルボウル,0.523066319210975,3,0.0,5,0.0,5
