,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,トモジャシック,牡4,60.0,難波,大根田,,---.-,**,栗東,2022104293,01066,タリスマニック,トモジャオール,エンパイアメーカー
1,2,2,ブラックバラード,セ5,60.0,伴,嘉藤,,---.-,**,美浦,2021103267,01149,ダノンバラード,メイショウグレア,ジャングルポケット
2,3,3,ミレニアムヒロイン,牝5,58.0,草野,池上,,---.-,**,美浦,2021103480,01113,スクリーンヒーロー,エクラミレネール,マツリダゴッホ
3,4,4,ゴールドブリーズ,牡8,57.0,▲水沼,深山,,---.-,**,美浦,2018102196,01201,トゥザワールド,ゴールドジャパン,スターリングローズ
4,5,5,シャンドゥレール,セ6,57.0,▲坂口,手塚徳,,---.-,**,美浦,2020103053,01211,エピファネイア,マジェスティッククオリティ,Quality Road
5,6,6,コンバスチョン,セ7,60.0,森一,伊藤圭,,---.-,**,美浦,2019101889,01139,ディスクリートキャット,スモーダリング,パイロ
6,7,7,ウォーターリーダー,牡6,60.0,高田,藤野,,---.-,**,栗東,2020100948,01046,ルーラーシップ,ウォーターラボ,マンハッタンカフェ
7,7,8,ヴェールランス,牡7,60.0,五十嵐,田村,,---.-,**,美浦,2019104767,01069,キタサンブラック,ジュエラー,ヴィクトワールピサ
8,8,9,アメリカンピース,セ8,60.0,小坂,東田,,---.-,**,栗東,2018110131,01063,Tapit,La Cloche,Ghostzapper
9,8,10,ローンウルフ,牡5,60.0,大江圭,武市,,---.-,**,美浦,2021104112,01120,リアルインパクト,シェリレーヌ,Mineshaft
