,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ゴールドフリーダム,セ3,57.0,菊沢,青木,462(-2),---.-,7.0,美浦,2023104511,1161,ゴールドアクター,ハチマンダイボサツ,マーベラスサンデー,-0.3593265824465765,12,-0.08764301339372876,11,-0.0016407562703645079,9
1,2,2,カラクリスピリッツ,牝3,55.0,小林脩,斎藤誠,466(+4),---.-,8.0,美浦,2023104432,1183,モーリス,オーヴォドーロ,ローエングリン,0.7152869232813165,4,-0.029680918628451822,8,0.019445190741029034,2
2,2,3,カミノテイオー,牡3,57.0,木幡巧,奥平,464(-14),---.-,12.0,美浦,2023109056,1162,タリスマニック,ゴールドマリキヤ,ゴールドアリュール,0.3752879217758622,5,0.017380477661791523,5,0.0,7
3,3,4,オセアフェアモント,牡3,57.0,野中,菊川,470(0),---.-,13.0,美浦,2023105962,1158,オルフェーヴル,フジマサリアル,リアルインパクト,-0.2545077458721068,11,-0.08764301339372876,11,0.0015202477343689452,5
4,3,5,イトシサ,牡3,57.0,三浦,田中博,514(+2),---.-,2.0,美浦,2023106849,1122,インディチャンプ,アルビアーノ,Harlan's Holiday,-1.161595597178351,14,-0.08764301339372876,11,-0.025834647858151673,14
5,4,6,プロミスライン,牝3,52.0,▲石神道,森一,460(+18),---.-,4.0,美浦,2023104884,1209,キズナ,スマッシュハート,キングカメハメハ,-0.11027743896437764,8,0.017380477661791523,5,-0.014643112822276682,11
6,4,7,チェイサー,牡3,54.0,▲佐藤,相沢,420(0),---.-,5.0,美浦,2023104603,1207,レイデオロ,ウェストレー,オルフェーヴル,0.756158218369508,2,0.09470120796083478,1,-0.003616223776700856,10
7,5,8,サイモングリーマン,牡3,57.0,木幡育,的場,486(+16),---.-,14.0,美浦,2023102050,1167,リアルインパクト,ピーエムルッカ,キンシャサノキセキ,0.7370275477235104,3,0.07323282153865056,2,0.0,7
8,5,9,ロジキセキ,牡3,57.0,田口,新開,482(-6),---.-,9.0,美浦,2023100578,1208,アドマイヤマーズ,グロッタアズーラ,フジキセキ,-0.11027743896437764,8,0.017380477661791523,5,-0.014643112822276682,11
9,6,10,アシタバスピリッツ,牝3,52.0,▲水沼,西田,468(0),---.-,6.0,美浦,2023106290,1201,マクフィ,ノットフォーマル,ヴァーミリアン,-0.8996586999873993,13,-0.08764301339372876,11,-0.017935460955616243,13
10,6,11,ゴーントゥファー,セ3,57.0,荻野極,小島,470(-6),---.-,,美浦,2023106531,1160,ドレフォン,グローリアスサルム,キズナ,-0.10857886254750937,7,-0.1633161854453566,15,0.020701269283160528,1
11,7,12,ウインビギニング,牡3,57.0,松山,上原博,496(-4),---.-,1.0,美浦,2023100291,1126,ニューイヤーズデイ,キネオダンサー,ディープインパクト,0.3752879217758622,5,0.017380477661791523,5,0.0,7
12,7,13,カシマライフウ,牡3,57.0,松岡,伊藤伸,482(+4),---.-,3.0,美浦,2023105439,1085,シュヴァルグラン,カシマサミダレ,シニスターミニスター,-1.161595597178351,14,-0.08764301339372876,11,-0.025834647858151673,14
13,8,14,ロココ,牝3,52.0,▲上里,加藤和,448(+2),---.-,11.0,美浦,2023103288,1217,ミスターメロディ,ジュモートリステ,ハービンジャー,-0.1544574940366538,10,-0.08764301339372876,11,0.004537446332082509,4
14,8,15,テンカラットレター,牡3,57.0,木幡初,本間,460(-4),---.-,10.0,美浦,2023104554,1153,バゴ,ブリリアントレター,スマートファルコン,1.3612269242496446,1,0.07323282153865056,2,0.01882387549254495,3
