,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,バルナバ,牡4,55.0,斎藤,浜田,502(0),---.-,11,栗東,2022106633,1178,ハービンジャー,クライミングローズ,マンハッタンカフェ,-1.5076731653271869,15,-1.0452811559053756,12,-1.037647782993826,15
1,2,2,ファウストラーゼン,牡4,56.0,小林美,須貝,458(+4),---.-,10,栗東,2022104218,1206,モズアスコット,ペイシャフェリス,スペシャルウィーク,-0.7757625230645089,12,-1.0896520539189491,14,-0.5592125672810602,13
2,2,3,ピースワンデュック,牡5,55.0,佐々木,大竹,454(+2),---.-,9,美浦,2021101134,1197,グレーターロンドン,ピースワンオーレ,ジャングルポケット,-0.5949006679250174,11,-1.030465996666734,11,-0.482239865073814,10
3,3,4,マジックサンズ,牡4,58.0,横山和,須貝,514(-14),---.-,4,栗東,2022104772,1140,キズナ,コナブリュワーズ,キングカメハメハ,-0.8391638407292703,13,-1.0870193345214145,13,-0.5999446516095231,14
4,3,5,イガッチ,牡4,55.0,浜中,笹田,484(+6),---.-,1,栗東,2022100699,1115,リアルスティール,クリーミーボイス,キングカメハメハ,0.9980060215387252,3,-0.40468742150666126,6,0.1342249152654948,2
5,4,6,サンストックトン,牡7,54.0,松本,堀内,474(+8),---.-,13,美浦,2019101422,1191,ワールドエース,シナル,キングカメハメハ,0.30077407333568806,5,-0.4733441530051224,7,-0.25631028889406376,6
6,4,7,チャックネイト,セ8,58.0,鮫島駿,堀,476(-18),---.-,14,美浦,2018104609,1157,ハーツクライ,ゴジップガール,Dynaformer,0.048130814204433076,9,-0.33742801498027664,5,-0.4923787224940024,11
7,5,8,ケイアイセナ,牡7,57.5,武豊,平田,482(+2),---.-,6,栗東,2019100318,666,ディープインパクト,ケイアイガーベラ,Smarty Jones,1.0586424313597265,2,-0.012413517527573012,2,-0.05898244615050624,3
8,5,9,オニャンコポン,セ7,54.0,横山琉,小島,476(+2),---.-,15,美浦,2019104756,1192,エイシンフラッシュ,シャリオドール,ヴィクトワールピサ,0.06229395057439985,8,-0.5354862569498967,8,-0.36715442464239156,7
9,6,10,ケリフレッドアスク,牝4,55.0,北村友,藤原,452(+2),---.-,7,栗東,2022102296,1102,ドゥラメンテ,ディープインアスク,ディープインパクト,0.2995119514818287,6,-0.6342006747825693,9,-0.16249627234812275,4
10,6,11,ジュタ,牡4,56.0,坂井,矢作,512(+8),---.-,5,栗東,2022104813,1163,ドゥラメンテ,シャンパンエニワン,ストリートセンス,0.5413861325710433,4,-0.02894118423020178,3,-0.36894268097940164,8
11,7,12,エコロディノス,牡4,57.0,池添,大久保,490(+12),---.-,3,栗東,2022105073,1032,キタサンブラック,ミスティックリップス,ジェネラス,1.549965464093395,1,0.06945435815211207,1,0.1965259977241487,1
12,7,13,アラタ,牡9,58.0,大野,和田勇,480(+4),---.-,12,美浦,2017104756,1096,キングカメハメハ,サンシャイン,ハーツクライ,-1.2300496403788905,14,-1.838720114096036,15,-0.3994748411354336,9
13,8,14,フィーリウス,牡4,56.0,丹内,手塚久,512(0),---.-,2,美浦,2022105175,1091,キタサンブラック,レーヴドゥラメール,ロードカナロア,-0.019746730508779564,10,-0.9305219104450106,10,-0.18555144356667105,5
14,8,15,デビットバローズ,セ7,58.0,岩田望,上村,508(+6),---.-,8,栗東,2019104878,1174,ロードカナロア,フレンチビキニ,サンデーサイレンス,0.1085857287744123,7,-0.228327081978614,4,-0.5191742203773936,12
