,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,フレイムジョーカー,牡7,60.0,中村,岩戸,494(-4),---.-,**,美浦,2019105745,01101,ロージズインメイ,オヒア,ブラックタイド
1,2,2,アウスヴァール,セ8,60.0,森一,昆,494(+2),---.-,**,栗東,2018101010,01139,ノヴェリスト,カネツスペシャル,スペシャルウィーク
2,3,3,シュハリ,牡6,60.0,江田勇亮,粕谷,462(-12),---.-,**,美浦,2020105031,01023,カレンブラックヒル,キシャリ,Kris
3,3,4,ポワンキュルミナン,牡6,60.0,小牧加,岡田,432(0),---.-,**,栗東,2020102955,01196,ロゴタイプ,ディオベルタ,フジキセキ
4,4,5,ブランフォルテ,牡4,57.0,▲水沼,辻,478(-2),---.-,**,美浦,2022100527,01201,シルバーステート,トーセンバスケット,ブライアンズタイム
5,4,6,グロッシェン,牡5,60.0,難波,手塚徳,472(+2),---.-,**,美浦,2021104844,01066,ニューイヤーズデイ,キャットコイン,ステイゴールド
6,5,7,ラパンラピッド,セ6,57.0,▲坂口,武井,490(+2),---.-,**,美浦,2020102648,01211,ルーラーシップ,クードラパン,ダイワメジャー
7,5,8,ヴォンヌヴォー,牝6,58.0,黒岩,天間,462(-14),---.-,**,美浦,2020106585,01072,ドレフォン,ヴェイルオブクララ,ゼンノロブロイ
8,6,9,トーアマリシテン,セ5,60.0,五十嵐,小島,448(-2),---.-,**,美浦,2021105335,01069,ビーチパトロール,トーアヒミコ,クロフネ
9,6,10,ブライトライツ,セ4,60.0,草野,秋本,446(+10),---.-,**,美浦,2022103504,01113,ウインブライト,カムホームラッシー,Lawman
10,7,11,モズクルードラゴン,牡7,57.0,▲小林凌,天間,482(-2),---.-,**,美浦,2019103719,01177,グランプリボス,モズラコルタ,ヴィクトワールピサ
11,7,12,ニシノインヴィクタ,牡5,60.0,伴,本間,512(0),---.-,**,美浦,2021100190,01149,ブリックスアンドモルタル,ニシノミストレス,ルーラーシップ
12,8,13,ロワゾブルー,牝4,57.0,▲土田,小島,450(-6),---.-,**,美浦,2022103559,01198,ノヴェリスト,ヘレナモルフォ,ジャングルポケット
13,8,14,サマーアゲイン,牡5,60.0,高田,渡辺,502(-6),---.-,**,栗東,2021104669,01046,キズナ,アントワープ,キングカメハメハ
