,2017106312
peds_0,ヨハネスブルグ Johannesburg(米)
peds_1,レインボーローズ
peds_2,ヘネシー Hennessy(米)
peds_3,Myth
peds_4,アグネスタキオン
peds_5,チーター
peds_6,Storm Cat (米)
peds_7,Island Kitty
peds_8,オジジアン Ogygian(米)
peds_9,Yarn
peds_10,サンデーサイレンス Sunday Silence(米)
peds_11,アグネスフローラ
peds_12,Seeking the Gold
peds_13,Stepping High
peds_14,Storm Bird
peds_15,Terlingua
peds_16,Hawaii
peds_17,T. C. Kitten
peds_18,Damascus
peds_19,Gonfalon
peds_20,Mr. Prospector
peds_21,Narrate
peds_22,Halo
peds_23,Wishing Well
peds_24,ロイヤルスキー
peds_25,アグネスレディー
peds_26,Mr. Prospector
peds_27,Con Game
peds_28,No Robbery
peds_29,Bebop
peds_30,Northern Dancer
peds_31,South Ocean
peds_32,Secretariat
peds_33,Crimson Saint
peds_34,Utrillo
peds_35,Ethane
peds_36,Tom Cat
peds_37,Needlebug
peds_38,Sword Dancer
peds_39,Kerala
peds_40,Francis S.
peds_41,Grand Splendor
peds_42,Raise a Native
peds_43,Gold Digger
peds_44,Honest Pleasure
peds_45,State
peds_46,Hail to Reason
peds_47,Cosmah
peds_48,Understanding
peds_49,Mountain Flower
peds_50,Raja Baba
peds_51,Coz o'Nijinsky
peds_52,リマンド
peds_53,イコマエイカン
peds_54,Raise a Native
peds_55,Gold Digger
peds_56,Buckpasser
peds_57,Broadway
peds_58,Swaps
peds_59,Bimlette
peds_60,Prince Bio
peds_61,Cappellina
