,2014103524
peds_0,メイショウサムソン
peds_1,メイショウグラナダ
peds_2,オペラハウス Opera House(英)
peds_3,マイヴィヴィアン
peds_4,マンハッタンカフェ
peds_5,ウィズストリングス
peds_6,Sadler's Wells (米)
peds_7,Colorspin
peds_8,ダンシングブレーヴ Dancing Brave(米)
peds_9,ウイルプリンセス
peds_10,サンデーサイレンス Sunday Silence(米)
peds_11,サトルチェンジ Subtle Change(愛)
peds_12,デヒア Dehere(米)
peds_13,Mastina
peds_14,Northern Dancer
peds_15,Fairy Bridge
peds_16,High Top
peds_17,Reprocolor
peds_18,Lyphard
peds_19,Navajo Princess
peds_20,サンプリンス
peds_21,エール
peds_22,Halo
peds_23,Wishing Well
peds_24,Law Society
peds_25,Santa Luciana
peds_26,Deputy Minister
peds_27,Sister Dot
peds_28,Gulch
peds_29,Winter Treasure
peds_30,Nearctic
peds_31,Natalma
peds_32,Bold Reason
peds_33,Special
peds_34,Derring-Do
peds_35,Camenae
peds_36,Jimmy Reppin
peds_37,Blue Queen
peds_38,Northern Dancer
peds_39,Goofed
peds_40,Drone
peds_41,Olmec
peds_42,Princely Gift
peds_43,Costa Sola
peds_44,フォルティノ
peds_45,ガーネツト
peds_46,Hail to Reason
peds_47,Cosmah
peds_48,Understanding
peds_49,Mountain Flower
peds_50,Alleged
peds_51,Bold Bikini
peds_52,Luciano
peds_53,Suleika
peds_54,Vice Regent
peds_55,Mint Copy
peds_56,Secretariat
peds_57,Sword Game
peds_58,Mr. Prospector
peds_59,Jameela
peds_60,Vigors
peds_61,Minstrel Miss
