,2015104150
peds_0,ダイワメジャー
peds_1,ラプターセイハート
peds_2,サンデーサイレンス Sunday Silence(米)
peds_3,スカーレットブーケ
peds_4,トワイニング Twining(米)
peds_5,リリウム
peds_6,Halo
peds_7,Wishing Well
peds_8,ノーザンテースト Northern Taste(加)
peds_9,スカーレットインク Scarlet Ink(米)
peds_10,フォーティナイナー Forty Niner(米)
peds_11,Courtly Dee
peds_12,クロフネ
peds_13,ベゴニア Begonia(米)
peds_14,Hail to Reason
peds_15,Cosmah
peds_16,Understanding
peds_17,Mountain Flower
peds_18,Northern Dancer
peds_19,Lady Victoria
peds_20,Crimson Satan
peds_21,Consentida
peds_22,Mr. Prospector
peds_23,File
peds_24,Never Bend
peds_25,Tulle
peds_26,フレンチデピュティ
peds_27,ブルーアヴェニュー
peds_28,Plugged Nickle
peds_29,Dahlia
peds_30,Turn-to
peds_31,Nothirdchance
peds_32,Cosmic Bomb
peds_33,Almahmoud
peds_34,Promised Land
peds_35,Pretty Ways
peds_36,Montparnasse
peds_37,Edelweiss
peds_38,Nearctic
peds_39,Natalma
peds_40,Victoria Park
peds_41,Lady Angela
peds_42,Spy Song
peds_43,Papila
peds_44,Beau Max
peds_45,La Menina
peds_46,Raise a Native
peds_47,Gold Digger
peds_48,Tom Rolfe
peds_49,Continue
peds_50,Nasrullah
peds_51,Lalun
peds_52,War Admiral
peds_53,Judy-Rae
peds_54,Deputy Minister
peds_55,Mitterand
peds_56,Classic Go Go
peds_57,Eliza Blue
peds_58,Key to the Mint
peds_59,Toll Booth
peds_60,Vaguely Noble
peds_61,Charming Alibi
