,2019105939
peds_0,マジェスティックウォリアー Majestic Warrior(米)
peds_1,ゼロカラノキセキ
peds_2,A.P. Indy
peds_3,Dream Supreme
peds_4,キンシャサノキセキ
peds_5,スイートマカロン
peds_6,Seattle Slew
peds_7,Weekend Surprise
peds_8,Seeking the Gold
peds_9,Spinning Round
peds_10,フジキセキ
peds_11,ケルトシャーン Keltshaan(米)
peds_12,Tale of the Cat (米)
peds_13,Pastel Colour
peds_14,Bold Reasoning
peds_15,My Charmer
peds_16,Secretariat
peds_17,Lassie Dear
peds_18,Mr. Prospector
peds_19,Con Game
peds_20,Dixieland Band
peds_21,Take Heart
peds_22,サンデーサイレンス
peds_23,ミルレーサー
peds_24,Pleasant Colony
peds_25,Featherhill
peds_26,Storm Cat
peds_27,Yarn
peds_28,Distant View
peds_29,ランセステューズ
peds_30,Boldnesian
peds_31,Reason to Earn
peds_32,Poker
peds_33,Fair Charmer
peds_34,Bold Ruler
peds_35,Somethingroyal
peds_36,Buckpasser
peds_37,Gay Missile
peds_38,Raise a Native
peds_39,Gold Digger
peds_40,Buckpasser
peds_41,Broadway
peds_42,Northern Dancer
peds_43,Mississippi Mud
peds_44,Secretariat
peds_45,Deck Stewardess
peds_46,Halo
peds_47,Wishing Well
peds_48,Le Fabuleux
peds_49,Marston's Mill
peds_50,His Majesty
peds_51,Sun Colony
peds_52,Lyphard
peds_53,Lady Berry
peds_54,Storm Bird
peds_55,Terlingua
peds_56,Mr. Prospector
peds_57,Narrate
peds_58,Mr. Prospector
peds_59,Seven Springs
peds_60,リィフォー
peds_61,Enthraller
