,2016105473
peds_0,ゴールドアリュール
peds_1,キョウエイハツラツ
peds_2,サンデーサイレンス Sunday Silence(米)
peds_3,ニキーヤ Nikiya(米)
peds_4,オペラハウス Opera House(英)
peds_5,ケイシュウハーブ
peds_6,Halo
peds_7,Wishing Well
peds_8,Nureyev
peds_9,Reluctant Guest
peds_10,Sadler's Wells (米)
peds_11,Colorspin
peds_12,ミシシッピアン
peds_13,キョウエイシラユキ
peds_14,Hail to Reason
peds_15,Cosmah
peds_16,Understanding
peds_17,Mountain Flower
peds_18,Northern Dancer
peds_19,Special
peds_20,Hostage
peds_21,Vaguely Royal
peds_22,Northern Dancer
peds_23,Fairy Bridge
peds_24,High Top
peds_25,Reprocolor
peds_26,Vaguely Noble
peds_27,Gazala
peds_28,クラウンドプリンス
peds_29,アリアーン
peds_30,Turn-to
peds_31,Nothirdchance
peds_32,Cosmic Bomb
peds_33,Almahmoud
peds_34,Promised Land
peds_35,Pretty Ways
peds_36,Montparnasse
peds_37,Edelweiss
peds_38,Nearctic
peds_39,Natalma
peds_40,Forli
peds_41,Thong
peds_42,Nijinsky
peds_43,Entente
peds_44,Vaguely Noble
peds_45,Shoshanna
peds_46,Nearctic
peds_47,Natalma
peds_48,Bold Reason
peds_49,Special
peds_50,Derring-Do
peds_51,Camenae
peds_52,Jimmy Reppin
peds_53,Blue Queen
peds_54,ヴィエナ
peds_55,Noble Lassie
peds_56,Dark Star
peds_57,Belle Angevine
peds_58,Raise a Native
peds_59,Gay Hostess
peds_60,シルバーシャーク
peds_61,Nucciolina
