クラス,血統,1着,2着,3着,着外
all,ロードカナロア,7,2,3,33
all,モーリス,4,2,1,21
all,ダイワメジャー,3,1,2,16
all,ハービンジャー,3,0,1,7
all,ディープインパクト,2,1,0,15
all,カラヴァッジオ,2,0,0,0
all,ドレフォン,2,0,0,9
all,エピファネイア,1,4,0,13
all,オルフェーヴル,1,3,0,10
all,ルーラーシップ,1,2,2,12
all,リオンディーズ,1,1,3,10
all,ヴィクトワールピサ,1,1,2,11
all,キタサンブラック,1,1,0,4
all,イスラボニータ,1,0,3,6
all,エイシンフラッシュ,1,0,1,6
all,キンシャサノキセキ,1,0,1,6
all,Dark Angel,1,0,0,1
all,Point of Entry,1,0,0,2
all,クロフネ,1,0,0,4
all,サトノアラジン,1,0,0,3
all,ダノンシャンティ,1,0,0,3
all,マクフィ,1,0,0,5
all,ワールドエース,1,0,0,6
all,ミッキーアイル,0,2,0,5
all,キズナ,0,1,3,17
all,ジャスタウェイ,0,1,2,9
all,ハーツクライ,0,1,2,4
all,ヘニーヒューズ,0,1,2,5
all,ディスクリートキャット,0,1,1,2
all,Frankel,0,1,0,1
all,Invincible Spirit,0,1,0,1
all,Showcasing,0,1,0,0
all,アメリカンペイトリオット,0,1,0,2
all,グレーターロンドン,0,1,0,0
all,シルバーステート,0,1,0,3
all,デクラレーションオブウォー,0,1,0,2
all,トゥザグローリー,0,1,0,0
all,トーホウジャッカル,0,1,0,1
all,ドリームジャーニー,0,1,0,5
all,ビッグアーサー,0,1,0,6
all,ベーカバド,0,1,0,0
all,レッドスパーダ,0,1,0,4
all,レッドファルクス,0,1,0,1
all,アドマイヤムーン,0,0,1,3
all,キングカメハメハ,0,0,1,2
all,サトノクラウン,0,0,1,3
all,ジャングルポケット,0,0,1,0
all,スクリーンヒーロー,0,0,1,7
all,ディープブリランテ,0,0,1,4
all,ファインニードル,0,0,1,2
all,ベルシャザール,0,0,1,2
all,メイショウサムソン,0,0,1,3
all,リアルインパクト,0,0,1,2
all,American Pharoah,0,0,0,1
all,Classic Empire,0,0,0,1
all,Distorted Humor,0,0,0,1
all,Into Mischief,0,0,0,1
all,Le Havre,0,0,0,1
all,Medaglia d'Oro,0,0,0,1
all,Nathaniel,0,0,0,1
all,Practical Joke,0,0,0,1
all,Raven's Pass,0,0,0,1
all,Shalaa,0,0,0,1
all,Shamardal,0,0,0,2
all,The Gurkha,0,0,0,1
all,アグネスデジタル,0,0,0,1
all,アサクサキングス,0,0,0,1
all,アジアエクスプレス,0,0,0,1
all,エイシンヒカリ,0,0,0,2
all,カレンブラックヒル,0,0,0,1
all,ガルボ,0,0,0,1
all,キングズベスト,0,0,0,0
all,クリエイター,0,0,0,2
all,グラスワンダー,0,0,0,1
all,グロリアスノア,0,0,0,1
all,ゴールドアリュール,0,0,0,2
all,ゴールドシップ,0,0,0,3
all,サトノダイヤモンド,0,0,0,2
all,ザファクター,0,0,0,1
all,シゲルカガ,0,0,0,1
all,シャンハイボビー,0,0,0,2
all,ショウナンカンプ,0,0,0,1
all,シンボリクリスエス,0,0,0,1
all,ジョーカプチーノ,0,0,0,1
all,スクワートルスクワート,0,0,0,1
all,スズカフェニックス,0,0,0,1
all,ストリートセンス,0,0,0,1
all,ストロングリターン,0,0,0,1
all,タイキシャトル,0,0,0,2
all,タニノギムレット,0,0,0,9
all,タリスマニック,0,0,0,1
all,タートルボウル,0,0,0,1
all,ダノンシャーク,0,0,0,1
all,ダノンバラード,0,0,0,1
all,ダンカーク,0,0,0,1
all,ディーマジェスティ,0,0,0,1
all,トゥザワールド,0,0,0,1
all,トーセンジョーダン,0,0,0,2
all,トーセンラー,0,0,0,1
all,ドゥラメンテ,0,0,0,8
all,ネオユニヴァース,0,0,0,1
all,ネロ,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,ビーチパトロール,0,0,0,2
all,フリオーソ,0,0,0,1
all,ブラックタイド,0,0,0,8
all,マインドユアビスケッツ,0,0,0,4
all,マジェスティックウォリアー,0,0,0,1
all,マツリダゴッホ,0,0,0,4
all,ミッキーロケット,0,0,0,2
all,メイショウボーラー,0,0,0,7
all,ヤマカツエース,0,0,0,1
all,ヨハネスブルグ,0,0,0,2
all,ラブリーデイ,0,0,0,7
all,リアルスティール,0,0,0,3
all,リヤンドファミユ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ロゴタイプ,0,0,0,1
all,ローエングリン,0,0,0,1
all,ロージズインメイ,0,0,0,2
all,ローレルゲレイロ,0,0,0,1
all,ワークフォース,0,0,0,1
all,ヴァンキッシュラン,0,0,0,1
all,ヴァンセンヌ,0,0,0,1
1勝クラス,モーリス,2,0,0,4
1勝クラス,エピファネイア,1,2,0,3
1勝クラス,キタサンブラック,1,0,0,2
1勝クラス,クロフネ,1,0,0,1
1勝クラス,マクフィ,1,0,0,1
1勝クラス,ルーラーシップ,0,1,1,2
1勝クラス,Showcasing,0,1,0,0
1勝クラス,デクラレーションオブウォー,0,1,0,0
1勝クラス,リオンディーズ,0,1,0,2
1勝クラス,アドマイヤムーン,0,0,1,0
1勝クラス,エイシンフラッシュ,0,0,1,2
1勝クラス,キズナ,0,0,1,3
1勝クラス,サトノクラウン,0,0,1,0
1勝クラス,ロードカナロア,0,0,1,5
1勝クラス,イスラボニータ,0,0,0,1
1勝クラス,カレンブラックヒル,0,0,0,1
1勝クラス,グロリアスノア,0,0,0,1
1勝クラス,ジャスタウェイ,0,0,0,1
1勝クラス,ジョーカプチーノ,0,0,0,1
1勝クラス,ストロングリターン,0,0,0,1
1勝クラス,タニノギムレット,0,0,0,1
1勝クラス,ダイワメジャー,0,0,0,2
1勝クラス,ダノンシャンティ,0,0,0,1
1勝クラス,ダンカーク,0,0,0,1
1勝クラス,ディープインパクト,0,0,0,4
1勝クラス,ディープブリランテ,0,0,0,1
1勝クラス,ドゥラメンテ,0,0,0,2
1勝クラス,ドレフォン,0,0,0,1
1勝クラス,ハーツクライ,0,0,0,1
1勝クラス,ハービンジャー,0,0,0,2
1勝クラス,ファインニードル,0,0,0,1
1勝クラス,ブラックタイド,0,0,0,3
1勝クラス,マツリダゴッホ,0,0,0,3
1勝クラス,ローレルゲレイロ,0,0,0,1
1勝クラス,ワールドエース,0,0,0,2
1勝クラス,ヴァンキッシュラン,0,0,0,1
1勝クラス,ヴィクトワールピサ,0,0,0,1
2勝クラス,オルフェーヴル,1,3,0,2
2勝クラス,ヴィクトワールピサ,1,1,2,6
2勝クラス,ダイワメジャー,1,0,1,3
2勝クラス,Dark Angel,1,0,0,0
2勝クラス,カラヴァッジオ,1,0,0,0
2勝クラス,ダノンシャンティ,1,0,0,0
2勝クラス,モーリス,1,0,0,3
2勝クラス,リオンディーズ,1,0,0,2
2勝クラス,ワールドエース,1,0,0,2
2勝クラス,ルーラーシップ,0,1,1,0
2勝クラス,ロードカナロア,0,1,1,3
2勝クラス,トゥザグローリー,0,1,0,0
2勝クラス,トーホウジャッカル,0,1,0,0
2勝クラス,ベーカバド,0,1,0,0
2勝クラス,ヘニーヒューズ,0,0,2,3
2勝クラス,スクリーンヒーロー,0,0,1,2
2勝クラス,メイショウサムソン,0,0,1,3
2勝クラス,Practical Joke,0,0,0,1
2勝クラス,Shalaa,0,0,0,1
2勝クラス,エイシンフラッシュ,0,0,0,3
2勝クラス,エピファネイア,0,0,0,3
2勝クラス,キズナ,0,0,0,4
2勝クラス,キングカメハメハ,0,0,0,1
2勝クラス,クリエイター,0,0,0,2
2勝クラス,シルバーステート,0,0,0,1
2勝クラス,シンボリクリスエス,0,0,0,1
2勝クラス,スズカフェニックス,0,0,0,1
2勝クラス,タニノギムレット,0,0,0,8
2勝クラス,ダノンシャーク,0,0,0,1
2勝クラス,ディープインパクト,0,0,0,2
2勝クラス,トーセンジョーダン,0,0,0,2
2勝クラス,ドゥラメンテ,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,2
2勝クラス,ハービンジャー,0,0,0,2
2勝クラス,フリオーソ,0,0,0,1
2勝クラス,ブラックタイド,0,0,0,1
2勝クラス,メイショウボーラー,0,0,0,2
2勝クラス,ヨハネスブルグ,0,0,0,1
2勝クラス,ラブリーデイ,0,0,0,3
2勝クラス,ロージズインメイ,0,0,0,2
2勝クラス,ヴァンセンヌ,0,0,0,1
3勝クラス,ディープインパクト,2,1,0,4
3勝クラス,ロードカナロア,2,0,0,4
3勝クラス,カラヴァッジオ,1,0,0,0
3勝クラス,ディスクリートキャット,0,1,1,0
3勝クラス,モーリス,0,1,1,3
3勝クラス,Invincible Spirit,0,1,0,1
3勝クラス,レッドスパーダ,0,1,0,3
3勝クラス,ハービンジャー,0,0,1,2
3勝クラス,ベルシャザール,0,0,1,2
3勝クラス,リオンディーズ,0,0,1,0
3勝クラス,Dark Angel,0,0,0,1
3勝クラス,Medaglia d'Oro,0,0,0,1
3勝クラス,アサクサキングス,0,0,0,1
3勝クラス,アドマイヤムーン,0,0,0,1
3勝クラス,エピファネイア,0,0,0,2
3勝クラス,オルフェーヴル,0,0,0,4
3勝クラス,キズナ,0,0,0,3
3勝クラス,キンシャサノキセキ,0,0,0,3
3勝クラス,クロフネ,0,0,0,1
3勝クラス,ゴールドアリュール,0,0,0,2
3勝クラス,サトノアラジン,0,0,0,1
3勝クラス,ジャスタウェイ,0,0,0,3
3勝クラス,スクリーンヒーロー,0,0,0,1
3勝クラス,ダイワメジャー,0,0,0,1
3勝クラス,ダノンシャンティ,0,0,0,2
3勝クラス,ドリームジャーニー,0,0,0,1
3勝クラス,ヘニーヒューズ,0,0,0,1
3勝クラス,マクフィ,0,0,0,1
3勝クラス,メイショウボーラー,0,0,0,2
3勝クラス,ラブリーデイ,0,0,0,1
3勝クラス,ルーラーシップ,0,0,0,4
3勝クラス,ローエングリン,0,0,0,1
3勝クラス,ワールドエース,0,0,0,1
オープン,ロードカナロア,5,0,1,12
オープン,Point of Entry,1,0,0,2
オープン,キンシャサノキセキ,1,0,0,2
オープン,ミッキーアイル,0,2,0,1
オープン,Frankel,0,1,0,0
オープン,エピファネイア,0,1,0,1
オープン,キタサンブラック,0,1,0,1
オープン,ドリームジャーニー,0,1,0,3
オープン,ビッグアーサー,0,1,0,0
オープン,キズナ,0,0,2,2
オープン,キングカメハメハ,0,0,1,1
オープン,ダイワメジャー,0,0,1,4
オープン,ハーツクライ,0,0,1,1
オープン,リアルインパクト,0,0,1,0
オープン,American Pharoah,0,0,0,1
オープン,Le Havre,0,0,0,1
オープン,Shamardal,0,0,0,2
オープン,アグネスデジタル,0,0,0,1
オープン,アメリカンペイトリオット,0,0,0,1
オープン,イスラボニータ,0,0,0,2
オープン,エイシンフラッシュ,0,0,0,1
オープン,オルフェーヴル,0,0,0,2
オープン,ガルボ,0,0,0,1
オープン,キングズベスト,0,0,0,0
オープン,グラスワンダー,0,0,0,1
オープン,サトノクラウン,0,0,0,1
オープン,ザファクター,0,0,0,1
オープン,スクリーンヒーロー,0,0,0,2
オープン,スクワートルスクワート,0,0,0,1
オープン,タイキシャトル,0,0,0,2
オープン,タートルボウル,0,0,0,1
オープン,ディスクリートキャット,0,0,0,1
オープン,ディープインパクト,0,0,0,4
オープン,ディープブリランテ,0,0,0,3
オープン,デクラレーションオブウォー,0,0,0,1
オープン,トーセンラー,0,0,0,1
オープン,ドレフォン,0,0,0,2
オープン,ブラックタイド,0,0,0,1
オープン,マインドユアビスケッツ,0,0,0,1
オープン,マクフィ,0,0,0,3
オープン,マツリダゴッホ,0,0,0,1
オープン,モーリス,0,0,0,2
オープン,ヤマカツエース,0,0,0,1
オープン,ヨハネスブルグ,0,0,0,1
オープン,ラブリーデイ,0,0,0,1
オープン,リオンディーズ,0,0,0,1
オープン,ルーラーシップ,0,0,0,1
オープン,レッドスパーダ,0,0,0,1
オープン,ワークフォース,0,0,0,1
オープン,ヴィクトワールピサ,0,0,0,2
新馬,イスラボニータ,1,0,2,0
新馬,エイシンフラッシュ,1,0,0,0
新馬,サトノアラジン,1,0,0,1
新馬,ダイワメジャー,1,0,0,1
新馬,ハービンジャー,1,0,0,0
新馬,ハーツクライ,0,1,1,0
新馬,アメリカンペイトリオット,0,1,0,1
新馬,エピファネイア,0,1,0,0
新馬,グレーターロンドン,0,1,0,0
新馬,シルバーステート,0,1,0,0
新馬,キンシャサノキセキ,0,0,1,0
新馬,ファインニードル,0,0,1,1
新馬,アドマイヤムーン,0,0,0,1
新馬,エイシンヒカリ,0,0,0,1
新馬,キズナ,0,0,0,3
新馬,キタサンブラック,0,0,0,1
新馬,ゴールドシップ,0,0,0,1
新馬,サトノダイヤモンド,0,0,0,2
新馬,シゲルカガ,0,0,0,1
新馬,シャンハイボビー,0,0,0,2
新馬,ジャスタウェイ,0,0,0,1
新馬,タリスマニック,0,0,0,1
新馬,ダノンバラード,0,0,0,1
新馬,ディスクリートキャット,0,0,0,1
新馬,ディーマジェスティ,0,0,0,1
新馬,ドリームジャーニー,0,0,0,1
新馬,ドレフォン,0,0,0,4
新馬,ネロ,0,0,0,1
新馬,ビッグアーサー,0,0,0,3
新馬,ビーチパトロール,0,0,0,2
新馬,ブラックタイド,0,0,0,2
新馬,マインドユアビスケッツ,0,0,0,2
新馬,ミッキーアイル,0,0,0,1
新馬,ミッキーロケット,0,0,0,2
新馬,モーリス,0,0,0,7
新馬,ラブリーデイ,0,0,0,1
新馬,リアルスティール,0,0,0,2
新馬,リーチザクラウン,0,0,0,1
新馬,ルーラーシップ,0,0,0,4
新馬,ロゴタイプ,0,0,0,1
新馬,ロードカナロア,0,0,0,2
未勝利,ドレフォン,2,0,0,2
未勝利,ハービンジャー,2,0,0,1
未勝利,ダイワメジャー,1,1,0,5
未勝利,モーリス,1,1,0,2
未勝利,ルーラーシップ,1,0,0,1
未勝利,ジャスタウェイ,0,1,2,4
未勝利,キズナ,0,1,0,2
未勝利,ヘニーヒューズ,0,1,0,1
未勝利,レッドファルクス,0,1,0,1
未勝利,ロードカナロア,0,1,0,7
未勝利,リオンディーズ,0,0,2,5
未勝利,イスラボニータ,0,0,1,3
未勝利,ジャングルポケット,0,0,1,0
