,result_flag
0,3
1,9
2,2
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,3
17,3
18,8
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,3
31,9
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,3
47,9
48,2
49,0
50,0
51,0
52,0
53,0
54,0
55,4
56,2
57,4
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,3
70,7
71,8
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,3
86,3
87,2
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,3
102,2
103,5
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,3
112,6
113,3
114,0
115,0
116,0
117,0
118,0
119,3
120,2
121,3
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,3
132,2
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,3
148,3
149,2
150,0
151,0
152,0
153,0
154,0
155,9
156,2
157,2
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,3
170,2
171,2
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,3
186,2
187,8
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,3
196,9
197,3
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,5
208,7
209,5
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,3
224,2
225,5
226,0
227,0
228,0
229,0
230,0
231,5
232,9
233,1
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,4
244,2
245,2
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,5
260,3
261,2
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,4
276,4
277,1
278,0
279,0
280,0
281,0
282,0
283,4
284,2
285,2
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,9
299,7
300,6
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,3
312,2
313,3
314,0
315,0
316,0
317,4
318,2
319,3
320,0
321,0
322,0
323,0
324,0
325,8
326,2
327,2
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,4
340,2
341,6
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,3
356,2
357,2
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,3
367,9
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,5
383,2
384,8
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,3
399,2
400,3
401,0
402,0
403,0
404,0
405,3
406,4
407,6
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,3
419,3
420,3
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,4
432,2
433,1
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,6
446,2
447,2
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,3
462,4
463,6
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,6
473,2
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,4
489,3
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,4
503,3
504,5
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,4
516,2
517,1
518,0
519,0
520,0
521,0
522,0
523,5
524,9
525,2
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,3
540,3
541,1
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,7
556,7
557,4
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
