クラス,血統,1着,2着,3着,着外
all,ハーツクライ,7,4,3,24
all,ルーラーシップ,6,2,5,37
all,マジェスティックウォリアー,5,6,3,16
all,American Pharoah,5,0,1,3
all,キズナ,4,5,3,28
all,タートルボウル,4,3,3,4
all,キンシャサノキセキ,3,4,1,12
all,ディープインパクト,3,2,3,8
all,ブラックタイド,3,2,3,25
all,ロードカナロア,3,2,1,25
all,アイルハヴアナザー,3,1,2,23
all,パイロ,3,1,0,14
all,ゴールドアリュール,2,4,5,32
all,クロフネ,2,2,3,35
all,モンテロッソ,2,1,3,7
all,エピファネイア,2,1,2,15
all,カネヒキリ,2,1,2,9
all,キングカメハメハ,2,1,2,31
all,ヘニーヒューズ,2,1,2,17
all,エスポワールシチー,2,1,0,4
all,ダイワメジャー,2,1,0,20
all,エンパイアメーカー,2,0,1,15
all,スウェプトオーヴァーボード,2,0,0,1
all,スピルバーグ,1,3,0,8
all,エスケンデレヤ,1,2,3,5
all,ダンカーク,1,2,1,18
all,ハービンジャー,1,2,1,5
all,リアルインパクト,1,1,2,9
all,ヴィクトワールピサ,1,1,1,18
all,サムライハート,1,1,0,3
all,トゥザグローリー,1,1,0,7
all,トランセンド,1,1,0,20
all,スマートファルコン,1,0,3,11
all,ネオユニヴァース,1,0,3,11
all,ロージズインメイ,1,0,2,2
all,シニスターミニスター,1,0,1,11
all,トーセンジョーダン,1,0,1,8
all,Medaglia d'Oro,1,0,0,0
all,Quality Road,1,0,0,1
all,Tapit,1,0,0,1
all,クレスコグランド,1,0,0,0
all,スクリーンヒーロー,1,0,0,11
all,トウケイヘイロー,1,0,0,1
all,プリサイスエンド,1,0,0,4
all,ヨハネスブルグ,1,0,0,7
all,ローエングリン,1,0,0,1
all,ローズキングダム,1,0,0,3
all,ベルシャザール,0,4,1,9
all,ヴァーミリアン,0,4,1,9
all,Uncle Mo,0,3,0,2
all,カジノドライヴ,0,3,0,22
all,アポロソニック,0,2,1,0
all,アサクサキングス,0,2,0,4
all,ジャスタウェイ,0,2,0,8
all,エイシンフラッシュ,0,1,2,11
all,オルフェーヴル,0,1,2,17
all,ウィルテイクチャージ,0,1,1,0
all,ウォーターリーグ,0,1,1,0
all,ノヴェリスト,0,1,1,6
all,マンハッタンカフェ,0,1,1,3
all,Distorted Humor,0,1,0,1
all,Speightstown,0,1,0,0
all,アルデバラン,0,1,0,3
all,キモンノカシワ,0,1,0,1
all,シルバーチャーム,0,1,0,4
all,スズカフェニックス,0,1,0,2
all,ハタノヴァンクール,0,1,0,1
all,バゴ,0,1,0,4
all,フリオーソ,0,1,0,4
all,ウインバリアシオン,0,0,2,3
all,トーセンホマレボシ,0,0,2,14
all,ヒルノダムール,0,0,2,0
all,メイショウサムソン,0,0,2,10
all,More Than Ready,0,0,1,0
all,ケイムホーム,0,0,1,5
all,シンボリクリスエス,0,0,1,12
all,ゼンノロブロイ,0,0,1,15
all,バトルプラン,0,0,1,2
all,フサイチセブン,0,0,1,1
all,リオンディーズ,0,0,1,2
all,ワイルドラッシュ,0,0,1,5
all,ワークフォース,0,0,1,10
all,Bernardini,0,0,0,1
all,Constitution,0,0,0,0
all,Curlin,0,0,0,2
all,Emcee,0,0,0,1
all,Fusaichi Pegasus,0,0,0,1
all,Ghostzapper,0,0,0,1
all,Giant's Causeway,0,0,0,1
all,Golden Horn,0,0,0,1
all,Goldencents,0,0,0,1
all,He's Had Enough,0,0,0,0
all,Kingman,0,0,0,1
all,Lawman,0,0,0,1
all,Lemon Drop Kid,0,0,0,3
all,Malibu Moon,0,0,0,1
all,Orb,0,0,0,1
all,Pioneerof the Nile,0,0,0,1
all,Point of Entry,0,0,0,2
all,Siyouni,0,0,0,1
all,Tapizar,0,0,0,1
all,War Front,0,0,0,1
all,アグネスデジタル,0,0,0,2
all,アジアエクスプレス,0,0,0,1
all,アスカクリチャン,0,0,0,2
all,アッミラーレ,0,0,0,2
all,アドマイヤムーン,0,0,0,7
all,アポロキングダム,0,0,0,4
all,アンライバルド,0,0,0,1
all,アーネストリー,0,0,0,1
all,エイシンアポロン,0,0,0,1
all,エイシンヒカリ,0,0,0,2
all,オナーコード,0,0,0,1
all,オンファイア,0,0,0,2
all,オーシャンブルー,0,0,0,2
all,カリズマティック,0,0,0,1
all,カレンブラックヒル,0,0,0,5
all,キングズベスト,0,0,0,5
all,キングヘイロー,0,0,0,3
all,クリエイター,0,0,0,2
all,グラスワンダー,0,0,0,1
all,グランプリボス,0,0,0,5
