,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,テーオードレフォン,牡7,60.0,難波,梅田,,6.1,4,栗東,2019101324,01066,ドレフォン,エミネントシチー,ブライアンズタイム
1,2,2,タイゲン,牡7,60.0,黒岩,平田,,25.3,8,栗東,2019105413,01072,アジアエクスプレス,ベッライリス,ディープインパクト
2,3,3,モズナイスバディー,牡5,60.0,森一,飯田,,4.6,2,栗東,2021102845,01139,マジェスティックウォリアー,モズラコルタ,ヴィクトワールピサ
3,4,4,テーオーレガシー,牡6,60.0,小牧加,宮,,6.4,5,栗東,2020100604,01196,ダンカーク,ココモオレンジ,キングカメハメハ
4,5,5,ポルトドール,牡6,60.0,中村,小栗,,31.2,10,栗東,2020102728,01101,モーリス,レクレドール,サンデーサイレンス
5,5,6,フェスティヴビーム,セ6,60.0,草野,畠山,,37.5,11,美浦,2020102452,01113,リアルスティール,マクシマール,アグネスタキオン
6,6,7,コスモゴレアドール,牡7,58.0,△坂口,秋本,,15.9,6,美浦,2019100741,01211,ゴールドシップ,グワダラハラ,Acatenango
7,6,8,ガストン,セ7,60.0,小坂,高橋康,,6.0,3,栗東,2019105461,01063,シルバーステート,ミッキーパール,タニノギムレット
8,7,9,ソルトチューダ,牡4,60.0,小野寺,荒川,,23.2,7,栗東,2022105914,01123,ルーラーシップ,ピュアダイヤモンド,フジキセキ
9,7,10,アウルムレガリア,牝4,58.0,五十嵐,粕谷,,72.5,12,美浦,2022103503,01069,リオンディーズ,オートクレール,デュランダル
10,8,11,ベラトール,牡4,60.0,大江圭,西田,,3.5,1,美浦,2022102788,01120,ミッキーグローリー,アモーレヴォレ,アグネスデジタル
11,8,12,フジフォンテ,セ7,60.0,上野,粕谷,,26.4,9,美浦,2019105759,01087,ロージズインメイ,シチリアーナ,メイショウオウドウ
