,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,セルジュバローズ,牡3,57.0,川田,池江,504(+10),栗東,2023103092,1088,サートゥルナーリア,ホワットアスポット,Arch,1.1442566750359802,2,0.09229704814628022,2,,
1,2,2,オパールテソーロ,牝3,55.0,中井,高橋文,424(+2),美浦,2023106756,1141,シュヴァルグラン,ロマンシエール,アグネスデジタル,-1.4770200422408846,13,-0.598570879477779,13,,
2,3,3,マサノシリウス,牡3,54.0,▲田山,藤野,544(0),栗東,2023100018,1220,レイデオロ,ヤマイチファミリー,エンパイアメーカー,-0.4912816924579233,8,-0.3387680870424986,8,,
3,4,4,エクストラプッシュ,牡3,57.0,小沢,奥村豊,534(+10),栗東,2023105329,1185,ナダル,ヘアケイリー,ディープインパクト,0.8514916166686916,4,0.015135416250710243,4,,
4,4,5,ピースビート,牡3,57.0,団野,中村,478(-8),栗東,2023103098,1180,アメリカンペイトリオット,メジャータイフーン,ダイワメジャー,-1.2408552670326578,11,-0.5363269096784332,11,,
5,5,6,ケンフィールド,牡3,57.0,国分恭,大根田,472(+12),栗東,2023101694,1124,タリスマニック,ケンブリッジハーツ,キングヘイロー,-1.2873491389808014,12,-0.5485809097038108,12,,
6,5,7,メイショウジンライ,牡3,57.0,吉村,高橋亮,460(-8),栗東,2023103152,1216,インディチャンプ,ヴィヴァシャスヴィヴィアン,Distorted Humor,1.0933096906804893,3,0.07886937861853241,3,,
7,6,8,レヴロード,牡3,54.0,▲和田陽,畑端,484(+4),栗東,2023106139,1223,キセキ,アウラヴィータ,アジアエクスプレス,-0.49084964824352084,7,-0.3386542167711614,7,,
8,6,9,メイショウイッカク,牡3,53.0,★河原田,池添,478(-8),栗東,2023102242,1204,ドレフォン,メイショウショウブ,ダイワメジャー,-0.6841231366266386,9,-0.3895936897019828,9,,
9,7,10,ツキノコブネ,牡3,57.0,菅原隆,小手川,450(-1),美浦,2023105539,1129,タリスマニック,ルナカリーナ,オルフェーヴル,0.5644717272255556,6,-0.06051200963893947,6,,
10,7,11,レッドホット,セ3,57.0,松若,河嶋,462(0),栗東,2023104395,1154,キズナ,スティーリンキッシーズ,Sky Mesa,1.2254238460704325,1,0.11368959891136482,1,,
11,8,12,ロイヤルタイム,牡3,54.0,▲石神道,和田郎,430(+2),美浦,2023103932,1209,サトノクラウン,ラプチュア,バンブーエール,-0.7113403592633062,10,-0.3967671048835022,10,,
12,8,13,ゴーレジェンド,牡3,57.0,富田,武英,482(+10),栗東,2023100404,1168,タイセイレジェンド,ウインサクヤヒメ,ステイゴールド,0.7562897054868291,5,-0.00995615330795539,5,,
