,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ウインポーシャ,牝3,54.0,☆長浜,矢嶋,466(-2),美浦,2023105854,1214,リオンディーズ,ウインオリアート,ステイゴールド,0.36843103693850277,7,0.0004996438905137384,7,,
1,1,2,ゴールドフリーダム,セ3,53.0,★河原田,青木,466(-4),美浦,2023104511,1204,ゴールドアクター,ハチマンダイボサツ,マーベラスサンデー,0.8651052825054969,4,0.012243097397830261,4,,
2,2,3,サファイアプレミア,牝3,53.0,△柴田裕,池上,416(+4),美浦,2023107134,1212,ワールドプレミア,ドゥシャンパーニュ,ロードカナロア,-1.4019859274431818,15,-0.04136040723020897,15,,
3,2,4,ラップトップ,牝3,52.0,▲石神道,小栗,394(+2),栗東,2023100238,1209,リオンリオン,ラベ,ダンスインザダーク,-1.1332434788476318,14,-0.03500621335224486,14,,
4,3,5,ブランニューホーム,牡3,54.0,▲遠藤,深山,442(0),美浦,2023106607,1218,フィエールマン,ユメノマイホーム,ストーミングホーム,-0.7924529667916872,13,-0.026948502347932765,13,,
5,3,6,サンタカタリナ,牝3,52.0,▲和田陽,杉山晴,466(+2),栗東,2023104879,1223,スワーヴリチャード,ローヌグレイシア,クロフネ,1.4455673341369555,2,0.025967644577267468,2,,
6,4,7,セーヌデローヴ,牡3,54.0,▲石田,黒岩,440(-2),美浦,2023102504,1203,ダノンキングリー,レローヴ,ヴィクトワールピサ,-0.5591208277791303,12,-0.021431556078394264,12,,
7,4,8,ウインターブレス,牡3,57.0,小沢,竹内,494(-12),美浦,2023103521,1185,ハービンジャー,フェイブルネージュ,ディープインパクト,0.7712638578134795,5,0.010024294192777812,5,,
8,5,9,カタカムナ,牝3,52.0,▲水沼,蛯名利,428(+2),美浦,2023102381,1201,サトノクラウン,ジョイズエターナル,ディープブリランテ,1.2283765051238902,3,0.02083234628971729,3,,
9,5,10,コスモアミュレット,牡3,54.0,▲上里,加藤士,492(+6),美浦,2023106489,1217,ゴールドシップ,ポンポンルージュ,Kitten's Joy,-0.41630371222742074,10,-0.018054762996208312,10,,
10,6,11,マイネルパーロル,牡3,55.0,◇永島,嘉藤,460(+16),美浦,2023106467,1187,ゴールドシップ,パールオブアフリカ,Jeremy,-0.03854318757711156,8,-0.00912292649023828,8,,
11,6,12,ジャスティンカレラ,牡3,57.0,西塚,友道,466(-4),栗東,2023102563,1200,エピファネイア,アントパール,Lope de Vega,-0.5328850148692333,11,-0.02081123188827583,11,,
12,7,13,レゼルフォート,牝3,53.0,△舟山,渡辺,418(-10),栗東,2023106935,1221,ブリックスアンドモルタル,エールデュレーヴ,ディープインパクト,0.4434580208136779,6,0.002273595136821035,6,,
13,7,14,スカーレットジーン,牝3,53.0,◇今村,水野,426(+2),美浦,2023103465,1193,トーセンラー,ダイワウィズミー,キングカメハメハ,1.498385522562477,1,0.02721648714490999,1,,
14,8,15,ヴァールザーゲン,牝3,52.0,▲小林美,松山,408(+2),美浦,2023106454,1206,サトノダイヤモンド,トゥールドマジ,スクリーンヒーロー,-0.06460119709524038,9,-0.009739046665585848,9,,
15,8,16,ナムラシンジロー,牡3,57.0,松本,羽月,454(+10),栗東,2023100672,1191,ミッキーアイル,ナムラキヌ,ゼンノロブロイ,-1.6814512472638412,16,-0.047968134567620474,16,,
