クラス,血統,1着,2着,3着,着外
all,ストリートセンス,2,0,0,1
all,アポロキングダム,1,0,1,1
all,ミッキーアイル,1,0,1,5
all,モーリス,1,0,1,2
all,Into Mischief,1,0,0,0
all,Violence,1,0,0,0
all,シャンハイボビー,1,0,0,2
all,ドレフォン,1,0,0,2
all,フリオーソ,1,0,0,2
all,リアルスティール,0,4,0,1
all,キンシャサノキセキ,0,1,1,2
all,シニスターミニスター,0,1,1,7
all,アイファーソング,0,1,0,1
all,カレンブラックヒル,0,1,0,1
all,ホッコータルマエ,0,1,0,4
all,リヤンドファミユ,0,1,0,1
all,オルフェーヴル,0,0,1,1
all,ザファクター,0,0,1,1
all,シゲルカガ,0,0,1,1
all,パイロ,0,0,1,1
all,マジェスティックウォリアー,0,0,1,1
all,Bobby's Kitten,0,0,0,1
all,Goldencents,0,0,0,1
all,Lemon Drop Kid,0,0,0,2
all,Maclean's Music,0,0,0,1
all,Practical Joke,0,0,0,1
all,Shackleford,0,0,0,1
all,アジアエクスプレス,0,0,0,1
all,アンライバルド,0,0,0,1
all,イスラボニータ,0,0,0,3
all,エイシンヒカリ,0,0,0,1
all,キズナ,0,0,0,1
all,キングカメハメハ,0,0,0,1
all,クリーンエコロジー,0,0,0,1
all,コパノリッキー,0,0,0,1
all,サトノアラジン,0,0,0,1
all,サトノクラウン,0,0,0,1
all,シルバーステート,0,0,0,2
all,ジャスタウェイ,0,0,0,2
all,ジョーカプチーノ,0,0,0,2
all,スズカコーズウェイ,0,0,0,1
all,ストロングリターン,0,0,0,1
all,スノードラゴン,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,ダノンバラード,0,0,0,3
all,ダノンレジェンド,0,0,0,1
all,ディスクリートキャット,0,0,0,0
all,ディーマジェスティ,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,トゥザワールド,0,0,0,1
all,トランセンド,0,0,0,1
all,ドゥラメンテ,0,0,0,1
all,ノボジャック,0,0,0,1
all,ノヴェリスト,0,0,0,1
all,パドトロワ,0,0,0,1
all,ビッグアーサー,0,0,0,1
all,ファインニードル,0,0,0,1
all,ブラックタイド,0,0,0,1
all,プリサイスエンド,0,0,0,1
all,ヘニーヒューズ,0,0,0,1
all,ベストウォーリア,0,0,0,4
all,マインドユアビスケッツ,0,0,0,1
all,マクフィ,0,0,0,1
all,マツリダゴッホ,0,0,0,2
all,ミュゼスルタン,0,0,0,1
all,メイショウボーラー,0,0,0,2
all,リアルインパクト,0,0,0,1
all,リオンディーズ,0,0,0,1
all,リーチザクラウン,0,0,0,1
all,ルーラーシップ,0,0,0,1
all,レッドファルクス,0,0,0,2
all,ロゴタイプ,0,0,0,1
all,ロージズインメイ,0,0,0,1
all,ロードカナロア,0,0,0,4
all,ワールドエース,0,0,0,1
1勝クラス,ミッキーアイル,1,0,1,2
1勝クラス,ストリートセンス,1,0,0,0
1勝クラス,カレンブラックヒル,0,1,0,0
1勝クラス,ホッコータルマエ,0,1,0,2
1勝クラス,ザファクター,0,0,1,1
1勝クラス,Maclean's Music,0,0,0,1
1勝クラス,イスラボニータ,0,0,0,1
1勝クラス,キングカメハメハ,0,0,0,1
1勝クラス,シニスターミニスター,0,0,0,3
1勝クラス,トゥザワールド,0,0,0,1
1勝クラス,トランセンド,0,0,0,1
1勝クラス,ドゥラメンテ,0,0,0,1
1勝クラス,パイロ,0,0,0,1
1勝クラス,ヘニーヒューズ,0,0,0,1
1勝クラス,マツリダゴッホ,0,0,0,1
1勝クラス,メイショウボーラー,0,0,0,1
1勝クラス,リオンディーズ,0,0,0,1
1勝クラス,リーチザクラウン,0,0,0,1
1勝クラス,ロージズインメイ,0,0,0,1
1勝クラス,ロードカナロア,0,0,0,1
2勝クラス,ストリートセンス,1,0,0,0
2勝クラス,キンシャサノキセキ,0,1,1,1
2勝クラス,Goldencents,0,0,0,1
2勝クラス,アンライバルド,0,0,0,1
2勝クラス,クリーンエコロジー,0,0,0,1
2勝クラス,コパノリッキー,0,0,0,1
2勝クラス,シニスターミニスター,0,0,0,3
2勝クラス,ダノンレジェンド,0,0,0,1
2勝クラス,ミッキーアイル,0,0,0,1
2勝クラス,ロードカナロア,0,0,0,1
3勝クラス,フリオーソ,1,0,0,0
3勝クラス,シニスターミニスター,0,1,1,0
3勝クラス,Bobby's Kitten,0,0,0,1
3勝クラス,Practical Joke,0,0,0,1
3勝クラス,Shackleford,0,0,0,1
3勝クラス,イスラボニータ,0,0,0,1
3勝クラス,キズナ,0,0,0,1
3勝クラス,ストリートセンス,0,0,0,1
