,result_flag
0,6
1,2
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,3
14,4
15,2
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,7
28,3
29,8
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,3
42,5
43,1
44,0
45,0
46,0
47,0
48,0
49,3
50,3
51,8
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,10
64,3
65,4
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,4
78,2
79,8
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,3
92,3
93,3
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,3
105,3
106,8
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,5
116,3
117,2
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,4
130,2
131,5
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,3
144,5
145,2
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,3
155,7
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,4
169,2
170,8
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,4
180,9
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,4
189,6
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,3
203,2
204,2
205,0
206,0
207,0
208,0
209,0
210,0
211,3
212,2
213,3
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,9
226,3
227,2
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,4
239,5
240,3
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,3
253,3
254,1
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
