クラス,血統,1着,2着,3着,着外
all,コパノリッキー,2,0,0,2
all,フリオーソ,1,2,0,0
all,トーセンホマレボシ,1,1,0,1
all,ドゥラメンテ,1,0,1,0
all,ハーツクライ,1,0,1,1
all,ブリックスアンドモルタル,1,0,1,1
all,オルフェーヴル,1,0,0,2
all,ゴールドシップ,1,0,0,0
all,ダンカーク,1,0,0,0
all,ハービンジャー,1,0,0,3
all,ヘニーヒューズ,1,0,0,2
all,マンハッタンカフェ,1,0,0,0
all,ルヴァンスレーヴ,1,0,0,0
all,ヴァーミリアン,1,0,0,0
all,マジェスティックウォリアー,0,2,1,4
all,エイシンアポロン,0,1,1,0
all,キングカメハメハ,0,1,1,6
all,ジャスタウェイ,0,1,1,3
all,フェノーメノ,0,1,1,1
all,イスラボニータ,0,1,0,0
all,サートゥルナーリア,0,1,0,0
all,ディープインパクト,0,1,0,2
all,ドレフォン,0,1,0,1
all,ベルシャザール,0,1,0,2
all,ホッコータルマエ,0,1,0,4
all,ケープブランコ,0,0,1,1
all,シビルウォー,0,0,1,1
all,スピルバーグ,0,0,1,2
all,トゥザグローリー,0,0,1,1
all,マインドユアビスケッツ,0,0,1,3
all,ルーラーシップ,0,0,1,5
all,ワークフォース,0,0,1,1
all,Distorted Humor,0,0,0,1
all,Kameko,0,0,0,1
all,Medaglia d'Oro,0,0,0,1
all,アドマイヤムーン,0,0,0,2
all,アニマルキングダム,0,0,0,1
all,アルアイン,0,0,0,1
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,エスケンデレヤ,0,0,0,1
all,エピファネイア,0,0,0,1
all,オウケンブルースリ,0,0,0,1
all,カジノドライヴ,0,0,0,2
all,キズナ,0,0,0,1
all,キタサンブラック,0,0,0,1
all,キングヘイロー,0,0,0,1
all,クリエイター,0,0,0,2
all,クロフネ,0,0,0,4
all,グランプリボス,0,0,0,1
all,ゴールドアリュール,0,0,0,1
all,サトノアラジン,0,0,0,1
all,サトノダイヤモンド,0,0,0,3
all,サンダースノー,0,0,0,1
all,ザサンデーフサイチ,0,0,0,1
all,シャンハイボビー,0,0,0,1
all,シルバーステート,0,0,0,2
all,シンボリクリスエス,0,0,0,2
all,スウェプトオーヴァーボード,0,0,0,1
all,スクリーンヒーロー,0,0,0,4
all,スズカコーズウェイ,0,0,0,1
all,スズカフェニックス,0,0,0,1
all,ストロングリターン,0,0,0,1
all,スピリッツミノル,0,0,0,1
all,スマートファルコン,0,0,0,1
all,ダイワメジャー,0,0,0,2
all,テイエムオペラオー,0,0,0,1
all,ディーマジェスティ,0,0,0,1
all,デクラレーションオブウォー,0,0,0,1
all,ネオユニヴァース,0,0,0,1
all,フィエールマン,0,0,0,2
all,フサイチセブン,0,0,0,1
all,ブラックタイド,0,0,0,4
all,プリサイスエンド,0,0,0,2
all,モーニン,0,0,0,1
all,ヨハネスブルグ,0,0,0,1
all,ラブリーデイ,0,0,0,1
all,リオンディーズ,0,0,0,2
all,リッチーリッチー,0,0,0,0
all,リーチザクラウン,0,0,0,2
all,レイデオロ,0,0,0,1
all,レインボーライン,0,0,0,1
all,ロジャーバローズ,0,0,0,2
all,ロジユニヴァース,0,0,0,1
all,ローズキングダム,0,0,0,2
all,ワールドエース,0,0,0,2
all,ヴィクトワールピサ,0,0,0,1
未勝利,ハーツクライ,1,0,1,0
未勝利,ブリックスアンドモルタル,1,0,1,1
未勝利,オルフェーヴル,1,0,0,0
未勝利,コパノリッキー,1,0,0,0
未勝利,ゴールドシップ,1,0,0,0
未勝利,トーセンホマレボシ,1,0,0,1
未勝利,ヘニーヒューズ,1,0,0,0
未勝利,ルヴァンスレーヴ,1,0,0,0
未勝利,エイシンアポロン,0,1,1,0
未勝利,イスラボニータ,0,1,0,0
未勝利,ジャスタウェイ,0,1,0,2
未勝利,ディープインパクト,0,1,0,1
未勝利,ドレフォン,0,1,0,0
未勝利,フリオーソ,0,1,0,0
未勝利,ベルシャザール,0,1,0,1
未勝利,マジェスティックウォリアー,0,1,0,2
未勝利,キングカメハメハ,0,0,1,0
未勝利,シビルウォー,0,0,1,1
未勝利,トゥザグローリー,0,0,1,1
未勝利,マインドユアビスケッツ,0,0,1,2
未勝利,ルーラーシップ,0,0,1,2
未勝利,Kameko,0,0,0,1
未勝利,Medaglia d'Oro,0,0,0,1
未勝利,アドマイヤムーン,0,0,0,1
未勝利,エイシンヒカリ,0,0,0,1
未勝利,エイシンフラッシュ,0,0,0,1
未勝利,エスケンデレヤ,0,0,0,1
未勝利,エピファネイア,0,0,0,1
未勝利,キタサンブラック,0,0,0,1
未勝利,クリエイター,0,0,0,2
未勝利,クロフネ,0,0,0,2
未勝利,ゴールドアリュール,0,0,0,1
未勝利,サトノアラジン,0,0,0,1
未勝利,サトノダイヤモンド,0,0,0,2
未勝利,サンダースノー,0,0,0,1
未勝利,ザサンデーフサイチ,0,0,0,1
未勝利,シャンハイボビー,0,0,0,1
未勝利,シルバーステート,0,0,0,2
未勝利,シンボリクリスエス,0,0,0,2
未勝利,スウェプトオーヴァーボード,0,0,0,1
未勝利,スクリーンヒーロー,0,0,0,3
未勝利,ストロングリターン,0,0,0,1
未勝利,スピリッツミノル,0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,テイエムオペラオー,0,0,0,1
未勝利,ディーマジェスティ,0,0,0,1
未勝利,ハービンジャー,0,0,0,3
未勝利,フィエールマン,0,0,0,2
未勝利,ブラックタイド,0,0,0,2
未勝利,ホッコータルマエ,0,0,0,2
未勝利,ラブリーデイ,0,0,0,1
未勝利,リオンディーズ,0,0,0,2
未勝利,リッチーリッチー,0,0,0,0
未勝利,リーチザクラウン,0,0,0,1
未勝利,レインボーライン,0,0,0,1
未勝利,ロジャーバローズ,0,0,0,2
未勝利,ロジユニヴァース,0,0,0,1
未勝利,ローズキングダム,0,0,0,2
未勝利,ワークフォース,0,0,0,1
未勝利,ワールドエース,0,0,0,2
未勝利,ヴィクトワールピサ,0,0,0,1
1勝クラス,フリオーソ,1,1,0,0
1勝クラス,ドゥラメンテ,1,0,1,0
1勝クラス,コパノリッキー,1,0,0,2
1勝クラス,ダンカーク,1,0,0,0
1勝クラス,ハービンジャー,1,0,0,0
1勝クラス,マンハッタンカフェ,1,0,0,0
1勝クラス,ヴァーミリアン,1,0,0,0
1勝クラス,フェノーメノ,0,1,1,1
1勝クラス,マジェスティックウォリアー,0,1,1,2
1勝クラス,キングカメハメハ,0,1,0,6
1勝クラス,サートゥルナーリア,0,1,0,0
1勝クラス,トーセンホマレボシ,0,1,0,0
1勝クラス,ホッコータルマエ,0,1,0,2
1勝クラス,ケープブランコ,0,0,1,1
1勝クラス,ジャスタウェイ,0,0,1,1
1勝クラス,スピルバーグ,0,0,1,2
1勝クラス,ワークフォース,0,0,1,0
1勝クラス,Distorted Humor,0,0,0,1
1勝クラス,アドマイヤムーン,0,0,0,1
1勝クラス,アニマルキングダム,0,0,0,1
1勝クラス,アルアイン,0,0,0,1
1勝クラス,オウケンブルースリ,0,0,0,1
1勝クラス,オルフェーヴル,0,0,0,2
1勝クラス,カジノドライヴ,0,0,0,2
1勝クラス,キズナ,0,0,0,1
1勝クラス,キングヘイロー,0,0,0,1
1勝クラス,クロフネ,0,0,0,2
