クラス,血統,1着,2着,3着,着外
all,エピファネイア,1,1,0,2
all,デクラレーションオブウォー,1,0,0,0
all,レイデオロ,1,0,0,1
all,キタサンブラック,0,1,0,2
all,ミッキーアイル,0,1,0,0
all,ゴールドシップ,0,0,1,1
all,ダノンバラード,0,0,1,0
all,ブリックスアンドモルタル,0,0,1,1
all,Saxon Warrior,0,0,0,1
all,アメリカンペイトリオット,0,0,0,1
all,イスラボニータ,0,0,0,1
all,ウインブライト,0,0,0,1
all,オルフェーヴル,0,0,0,2
all,ガルボ,0,0,0,1
all,キセキ,0,0,0,0
all,コントレイル,0,0,0,2
all,サトノダイヤモンド,0,0,0,4
all,シルバーステート,0,0,0,3
all,スワーヴリチャード,0,0,0,1
all,ノーブルミッション,0,0,0,1
all,ハービンジャー,0,0,0,1
all,フィエールマン,0,0,0,1
all,ポエティックフレア,0,0,0,1
all,モズアスコット,0,0,0,1
all,モーリス,0,0,0,1
all,リアルスティール,0,0,0,2
all,リオンディーズ,0,0,0,1
all,リオンリオン,0,0,0,1
1勝クラス,デクラレーションオブウォー,1,0,0,0
1勝クラス,エピファネイア,0,1,0,1
1勝クラス,ブリックスアンドモルタル,0,0,1,1
1勝クラス,イスラボニータ,0,0,0,1
1勝クラス,ゴールドシップ,0,0,0,1
1勝クラス,サトノダイヤモンド,0,0,0,1
1勝クラス,シルバーステート,0,0,0,1
1勝クラス,ポエティックフレア,0,0,0,1
1勝クラス,リアルスティール,0,0,0,1
1勝クラス,レイデオロ,0,0,0,1
未勝利,エピファネイア,1,0,0,1
未勝利,レイデオロ,1,0,0,0
未勝利,キタサンブラック,0,1,0,2
未勝利,ミッキーアイル,0,1,0,0
未勝利,ゴールドシップ,0,0,1,0
未勝利,ダノンバラード,0,0,1,0
未勝利,Saxon Warrior,0,0,0,1
未勝利,アメリカンペイトリオット,0,0,0,1
未勝利,ウインブライト,0,0,0,1
未勝利,オルフェーヴル,0,0,0,2
未勝利,ガルボ,0,0,0,1
未勝利,キセキ,0,0,0,0
未勝利,コントレイル,0,0,0,2
未勝利,サトノダイヤモンド,0,0,0,3
未勝利,シルバーステート,0,0,0,2
未勝利,スワーヴリチャード,0,0,0,1
未勝利,ノーブルミッション,0,0,0,1
未勝利,ハービンジャー,0,0,0,1
未勝利,フィエールマン,0,0,0,1
未勝利,モズアスコット,0,0,0,1
未勝利,モーリス,0,0,0,1
未勝利,リアルスティール,0,0,0,1
未勝利,リオンディーズ,0,0,0,1
未勝利,リオンリオン,0,0,0,1
