,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ウィンターベル,牡4,58.0,ルメール,木村,494(-2),美浦,2022104939,5339,バゴ,ノチェブランカ,ディープインパクト,-0.5765212696112034,7,-0.971197759657309,7,,
1,2,2,ヴェナートル,牡4,55.0,▲佐藤,武藤,508(-4),美浦,2022101469,1207,アルアイン,ロンドンシーズン,ロードカナロア,-1.509514695786616,11,-1.5884668087817309,11,,
2,3,3,ビッグショータイム,牡5,58.0,小林凌,土田,498(-4),美浦,2021100626,1177,ワールドエース,ティンタジェル,キングカメハメハ,-1.5260040799140464,12,-1.599376195895754,12,,
3,4,4,レーヴブリリアント,牡4,58.0,戸崎圭,田中博,458(+6),美浦,2022105141,5386,スワーヴリチャード,リリレフア,ロードカナロア,0.5623917190847446,1,-0.2176921959046798,1,,
4,4,5,コスモオピニオン,牡6,56.0,△長浜,黒岩,512(-6),美浦,2020101258,1214,ダノンバラード,オピニオン,アイルハヴアナザー,-0.3873804464109502,5,-0.8460620697242909,5,,
5,5,6,シルバーレイン,牡4,58.0,大野,萩原,474(+2),美浦,2022104942,1096,エピファネイア,ノームコア,ハービンジャー,-0.7719620278403859,8,-1.1005014906458723,8,,
6,5,7,パワースナッチ,牡4,58.0,岩田康,武市,454(-2),美浦,2022105807,5203,ブリックスアンドモルタル,スナッチマインド,ディープインパクト,-1.2718200972936842,9,-1.4312079099755586,9,,
7,6,8,ブルーベリーフィズ,牝4,56.0,三浦,木村,480(-8),美浦,2022104815,1122,シスキン,シャンボールフィズ,キングカメハメハ,-0.3334408576100077,4,-0.8103756031799272,4,,
8,6,9,ジョウゲンノツキ,牝5,56.0,松岡,牧田,456(-6),栗東,2021102755,1085,イスラボニータ,ピサノグレース,フレンチデピュティ,-1.6786702292645588,13,-1.7003802182170866,13,,
9,7,10,オオナミコナミ,牝5,56.0,鮫島駿,牧浦,484(-10),栗東,2021107173,1157,エピファネイア,オメガセニョリーナ,アグネスタキオン,0.5402337636324672,2,-0.23235191344270778,2,,
10,7,11,ラーテル,セ6,58.0,原田和,南田,474(+2),美浦,2020104285,1143,ビッグアーサー,オービーレディー,コマンダーインチーフ,-1.2888167810384523,10,-1.4424529268417643,10,,
11,8,12,コスモアンソロジー,牡4,58.0,津村,嘉藤,448(-4),美浦,2022106793,1092,ダノンバラード,パーフェクトノート,Shamardal,-0.05460719224256471,3,-0.6258990713454153,3,,
12,8,13,ルージュナリッシュ,牝4,56.0,横山典,国枝,450(-6),美浦,2022105162,660,ドレフォン,レッドラヴィータ,スペシャルウィーク,-0.5428327543469739,6,-0.9489094163526748,6,,
