クラス,血統,1着,2着,3着,着外
all,サートゥルナーリア,3,1,0,7
all,ドゥラメンテ,3,1,0,5
all,リアルスティール,2,0,1,6
all,エピファネイア,1,2,2,11
all,レイデオロ,1,2,0,11
all,サトノダイヤモンド,1,1,1,7
all,Kingman,1,0,0,0
all,ウインバリアシオン,1,0,0,1
all,ディープインパクト,1,0,0,1
all,ルーラーシップ,1,0,0,4
all,ロードカナロア,1,0,0,1
all,キズナ,0,2,2,13
all,フィエールマン,0,2,0,0
all,ハービンジャー,0,1,4,3
all,ジャスタウェイ,0,1,0,2
all,トーホウジャッカル,0,1,0,0
all,マインドユアビスケッツ,0,1,0,1
all,モーリス,0,1,0,4
all,ブリックスアンドモルタル,0,0,2,8
all,ゴールドシップ,0,0,1,10
all,スクリーンヒーロー,0,0,1,0
all,ハーツクライ,0,0,1,4
all,ミッキーアイル,0,0,1,0
all,Dubawi,0,0,0,1
all,Frankel,0,0,0,1
all,Golden Horn,0,0,0,0
all,Lope de Vega,0,0,0,1
all,Saxon Warrior,0,0,0,1
all,Sottsass,0,0,0,2
all,アドマイヤマーズ,0,0,0,1
all,アルアイン,0,0,0,2
all,エイシンヒカリ,0,0,0,1
all,エイシンフラッシュ,0,0,0,1
all,エポカドーロ,0,0,0,1
all,オルフェーヴル,0,0,0,12
all,カリフォルニアクローム,0,0,0,1
all,キタサンブラック,0,0,0,1
all,キングカメハメハ,0,0,0,2
all,サトノクラウン,0,0,0,1
all,シスキン,0,0,0,1
all,シャンハイボビー,0,0,0,2
all,シュヴァルグラン,0,0,0,2
all,シルバーステート,0,0,0,2
all,スワーヴリチャード,0,0,0,2
all,ダイワメジャー,0,0,0,1
all,デクラレーションオブウォー,0,0,0,3
all,トーセンジョーダン,0,0,0,1
all,ドリームジャーニー,0,0,0,2
all,ドレフォン,0,0,0,1
all,ノヴェリスト,0,0,0,2
all,バゴ,0,0,0,2
all,ファインニードル,0,0,0,1
all,マクフィ,0,0,0,1
all,マクマホン,0,0,0,1
all,ラブリーデイ,0,0,0,3
all,リオンディーズ,0,0,0,2
all,レッドファルクス,0,0,0,1
all,ロジャーバローズ,0,0,0,1
all,ワンアンドオンリー,0,0,0,1
1勝クラス,ドゥラメンテ,3,0,0,3
1勝クラス,サトノダイヤモンド,1,1,1,3
1勝クラス,サートゥルナーリア,1,1,0,1
1勝クラス,エピファネイア,1,0,1,3
1勝クラス,リアルスティール,1,0,1,4
1勝クラス,ディープインパクト,1,0,0,0
1勝クラス,レイデオロ,0,2,0,5
1勝クラス,キズナ,0,1,0,8
1勝クラス,トーホウジャッカル,0,1,0,0
1勝クラス,フィエールマン,0,1,0,0
1勝クラス,モーリス,0,1,0,3
1勝クラス,スクリーンヒーロー,0,0,1,0
1勝クラス,ハーツクライ,0,0,1,3
1勝クラス,ハービンジャー,0,0,1,1
1勝クラス,ブリックスアンドモルタル,0,0,1,5
1勝クラス,ミッキーアイル,0,0,1,0
1勝クラス,Golden Horn,0,0,0,0
1勝クラス,アルアイン,0,0,0,1
1勝クラス,オルフェーヴル,0,0,0,5
1勝クラス,カリフォルニアクローム,0,0,0,1
1勝クラス,キタサンブラック,0,0,0,1
1勝クラス,ゴールドシップ,0,0,0,6
1勝クラス,サトノクラウン,0,0,0,1
1勝クラス,シャンハイボビー,0,0,0,2
1勝クラス,シュヴァルグラン,0,0,0,2
1勝クラス,ジャスタウェイ,0,0,0,1
1勝クラス,スワーヴリチャード,0,0,0,1
1勝クラス,デクラレーションオブウォー,0,0,0,1
1勝クラス,ドリームジャーニー,0,0,0,1
1勝クラス,ノヴェリスト,0,0,0,1
1勝クラス,バゴ,0,0,0,2
1勝クラス,マインドユアビスケッツ,0,0,0,1
1勝クラス,ラブリーデイ,0,0,0,1
1勝クラス,リオンディーズ,0,0,0,1
1勝クラス,ルーラーシップ,0,0,0,2
1勝クラス,ロードカナロア,0,0,0,1
1勝クラス,ワンアンドオンリー,0,0,0,1
2勝クラス,ウインバリアシオン,1,0,0,0
2勝クラス,リアルスティール,1,0,0,0
2勝クラス,ジャスタウェイ,0,1,0,1
2勝クラス,マインドユアビスケッツ,0,1,0,0
2勝クラス,エピファネイア,0,0,1,0
2勝クラス,ブリックスアンドモルタル,0,0,1,0
2勝クラス,エイシンフラッシュ,0,0,0,1
2勝クラス,オルフェーヴル,0,0,0,2
2勝クラス,キズナ,0,0,0,1
2勝クラス,ハーツクライ,0,0,0,1
2勝クラス,ハービンジャー,0,0,0,1
2勝クラス,マクマホン,0,0,0,1
2勝クラス,モーリス,0,0,0,1
2勝クラス,ルーラーシップ,0,0,0,1
2勝クラス,レイデオロ,0,0,0,1
2勝クラス,レッドファルクス,0,0,0,1
2勝クラス,ロードカナロア,0,0,0,0
オープン,ロードカナロア,1,0,0,0
オープン,キズナ,0,1,0,0
オープン,ゴールドシップ,0,0,1,2
オープン,Lope de Vega,0,0,0,1
オープン,キングカメハメハ,0,0,0,2
オープン,サトノダイヤモンド,0,0,0,1
オープン,シルバーステート,0,0,0,2
オープン,ディープインパクト,0,0,0,1
オープン,ドゥラメンテ,0,0,0,1
オープン,ドリームジャーニー,0,0,0,1
オープン,リアルスティール,0,0,0,1
オープン,レイデオロ,0,0,0,1
未勝利,サートゥルナーリア,2,0,0,6
未勝利,Kingman,1,0,0,0
未勝利,ルーラーシップ,1,0,0,1
未勝利,レイデオロ,1,0,0,4
未勝利,エピファネイア,0,2,0,8
未勝利,ハービンジャー,0,1,3,1
未勝利,ドゥラメンテ,0,1,0,1
未勝利,フィエールマン,0,1,0,0
未勝利,キズナ,0,0,2,4
未勝利,Dubawi,0,0,0,1
未勝利,Frankel,0,0,0,1
未勝利,Saxon Warrior,0,0,0,1
未勝利,Sottsass,0,0,0,2
未勝利,アドマイヤマーズ,0,0,0,1
未勝利,アルアイン,0,0,0,1
未勝利,ウインバリアシオン,0,0,0,1
未勝利,エイシンヒカリ,0,0,0,1
未勝利,エポカドーロ,0,0,0,1
未勝利,オルフェーヴル,0,0,0,5
未勝利,ゴールドシップ,0,0,0,2
未勝利,サトノダイヤモンド,0,0,0,3
未勝利,シスキン,0,0,0,1
未勝利,スワーヴリチャード,0,0,0,1
未勝利,ダイワメジャー,0,0,0,1
未勝利,デクラレーションオブウォー,0,0,0,2
未勝利,トーセンジョーダン,0,0,0,1
未勝利,ドレフォン,0,0,0,1
未勝利,ノヴェリスト,0,0,0,1
未勝利,ファインニードル,0,0,0,1
未勝利,ブリックスアンドモルタル,0,0,0,3
未勝利,マクフィ,0,0,0,1
未勝利,ラブリーデイ,0,0,0,2
未勝利,リアルスティール,0,0,0,1
未勝利,リオンディーズ,0,0,0,1
未勝利,ロジャーバローズ,0,0,0,1
