,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,class,horse_id,jockey_id,通過,上り
202505010101,1,4,7,サトノシャムロック,牡3,56.0,原優介,0:1:26.4,,7.6,3.0,504,[東] 田中博康,1400,晴,ダート,良,2025年02月01日,未勝利,2022104967,01184,5-6,36.9
202505010101,2,2,4,クラウンハート,牡3,57.0,石川裕紀,0:1:26.4,クビ,10.5,5.0,502,[東] 相沢郁,1400,晴,ダート,良,2025年02月01日,未勝利,2022106071,01150,10-10,36.4
202505010101,3,5,10,バーンズベリー,牡3,57.0,津村明秀,0:1:26.8,2.1/2,71.9,9.0,464,[東] 尾関知人,1400,晴,ダート,良,2025年02月01日,未勝利,2022110025,01092,5-4,37.4
202505010101,4,6,12,マサノユニコーン,牡3,56.0,横山琉人,0:1:26.8,ハナ,233.5,11.0,464,[東] 小島茂之,1400,晴,ダート,良,2025年02月01日,未勝利,2022107130,01192,8-9,37.0
202505010101,5,8,16,キャストロププ,牡3,54.0,長浜鴻緒,0:1:26.9,3/4,9.7,4.0,500,[東] 尾形和幸,1400,晴,ダート,良,2025年02月01日,未勝利,2022100749,01214,7-7,37.2
202505010101,6,1,2,ナクライト,牡3,57.0,三浦皇成,0:1:27.0,3/4,2.8,2.0,506,[東] 国枝栄,1400,晴,ダート,良,2025年02月01日,未勝利,2022104847,01122,4-4,37.7
202505010101,7,8,15,フェンスブレイカー,牡3,57.0,内田博幸,0:1:27.2,1,30.1,8.0,552,[東] 田島俊明,1400,晴,ダート,良,2025年02月01日,未勝利,2022104095,00422,2-2,38.0
202505010101,8,7,14,グリームスター,牡3,57.0,北村宏司,0:1:27.3,1/2,642.9,16.0,470,[東] 勢司和浩,1400,晴,ダート,良,2025年02月01日,未勝利,2022103030,01043,12-12,37.0
202505010101,9,7,13,キープサインオン,牡3,57.0,団野大成,0:1:27.3,ハナ,21.3,7.0,472,[東] 加藤征弘,1400,晴,ダート,良,2025年02月01日,未勝利,2022103556,01180,2-2,38.1
202505010101,10,4,8,エンジェルラダー,牝3,55.0,戸崎圭太,0:1:27.3,アタマ,2.6,1.0,474,[東] 木村哲也,1400,晴,ダート,良,2025年02月01日,未勝利,2022110064,05386,1-1,38.2
202505010101,11,3,6,レッドソニード,牡3,57.0,横山和生,0:1:27.7,2,14.5,6.0,492,[東] 嘉藤貴行,1400,晴,ダート,良,2025年02月01日,未勝利,2022105403,01140,8-7,38.1
202505010101,12,5,9,スーパーホース,セ3,57.0,原田和真,0:1:27.8,1/2,354.3,14.0,494,[東] 堀内岳志,1400,晴,ダート,良,2025年02月01日,未勝利,2022100485,01143,14-14,37.0
202505010101,13,2,3,ボーマン,牡3,57.0,木幡巧也,0:1:28.3,3,283.5,12.0,530,[東] 牧光二,1400,晴,ダート,良,2025年02月01日,未勝利,2022107196,01162,10-10,38.2
202505010101,14,1,1,エソテリック,牡3,57.0,嶋田純次,0:1:28.4,クビ,352.1,13.0,444,[東] 矢嶋大樹,1400,晴,ダート,良,2025年02月01日,未勝利,2022103340,01134,12-12,38.0
202505010101,15,3,5,キタノルシール,牝3,55.0,小林凌大,0:1:28.7,1.3/4,415.2,15.0,448,[東] 小西一男,1400,晴,ダート,良,2025年02月01日,未勝利,2022104523,01177,15-14,37.8
202505010101,16,6,11,メイショウヒンカク,セ3,57.0,木幡育也,0:1:29.2,3,137.2,10.0,492,[東] 蛯名正義,1400,晴,ダート,良,2025年02月01日,未勝利,2022103259,01167,16-16,37.4
