,式別,馬番,配当,人気
202601010101,単勝,7,380,3
202601010101,複勝,7,120,3
202601010101,複勝,5,110,2
202601010101,複勝,3,110,1
202601010101,馬連,5-7,520,1
202601010101,ワイド,5-7,250,3
202601010101,ワイド,3-7,210,1
202601010101,ワイド,3-5,230,2
202601010101,馬単,7→5,1140,6
202601010101,三連複,3-5-7,560,1
202601010101,三連単,7→5→3,2880,3
202601010102,単勝,5,360,2
202601010102,複勝,5,140,1
202601010102,複勝,8,160,4
202601010102,複勝,7,1750,8
202601010102,馬連,5-8,670,2
202601010102,ワイド,5-8,230,1
202601010102,ワイド,5-7,3000,20
202601010102,ワイド,7-8,4430,23
202601010102,馬単,5→8,1320,3
202601010102,三連複,5-7-8,14760,31
202601010102,三連単,5→8→7,48900,127
202601010103,単勝,3,240,1
202601010103,複勝,3,110,1
202601010103,複勝,8,130,3
202601010103,複勝,6,120,2
202601010103,枠連,3-7,600,2
202601010103,馬連,3-8,630,2
202601010103,ワイド,3-8,220,2
202601010103,ワイド,3-6,180,1
202601010103,ワイド,6-8,260,3
202601010103,馬単,3→8,1040,2
202601010103,三連複,3-6-8,580,1
202601010103,三連単,3→8→6,2440,2
202601010104,単勝,11,290,1
202601010104,複勝,11,120,1
202601010104,複勝,6,160,3
202601010104,複勝,4,140,2
202601010104,枠連,4-7,860,3
202601010104,馬連,6-11,760,2
202601010104,ワイド,6-11,250,2
202601010104,ワイド,4-11,250,1
202601010104,ワイド,4-6,410,5
202601010104,馬単,11→6,1560,3
202601010104,三連複,4-6-11,1130,2
202601010104,三連単,11→6→4,5110,4
202601010105,単勝,1,280,2
202601010105,複勝,1,130,2
202601010105,複勝,3,110,1
202601010105,馬連,1-3,220,1
202601010105,ワイド,1-3,130,1
202601010105,ワイド,1-2,190,4
202601010105,ワイド,2-3,180,3
202601010105,馬単,1→3,650,2
202601010105,三連複,1-2-3,320,2
202601010105,三連単,1→3→2,1540,5
202601010106,単勝,9,3530,10
202601010106,複勝,9,660,9
202601010106,複勝,10,170,2
202601010106,複勝,4,400,8
202601010106,枠連,6-6,6570,23
202601010106,馬連,9-10,7480,28
202601010106,ワイド,9-10,2170,26
202601010106,ワイド,4-9,4200,45
202601010106,ワイド,4-10,1080,12
202601010106,馬単,9→10,19290,66
202601010106,三連複,4-9-10,22300,76
202601010106,三連単,9→10→4,151430,477
202601010107,単勝,13,6120,11
202601010107,複勝,13,970,12
202601010107,複勝,7,190,3
202601010107,複勝,2,320,6
202601010107,枠連,4-7,750,2
202601010107,馬連,7-13,10910,35
202601010107,ワイド,7-13,3570,40
202601010107,ワイド,2-13,6340,63
202601010107,ワイド,2-7,900,8
202601010107,馬単,13→7,39370,99
202601010107,三連複,2-7-13,29830,99
202601010107,三連単,13→7→2,333140,925
202601010108,単勝,7,200,1
202601010108,複勝,7,110,1
202601010108,複勝,6,720,9
202601010108,複勝,5,230,3
202601010108,枠連,5-6,810,2
202601010108,馬連,6-7,5310,17
202601010108,ワイド,6-7,1470,16
202601010108,ワイド,5-7,380,2
202601010108,ワイド,5-6,2890,27
202601010108,馬単,7→6,7680,23
202601010108,三連複,5-6-7,8450,24
202601010108,三連単,7→6→5,40040,101
202601010109,単勝,1,2470,6
202601010109,複勝,1,610,6
202601010109,複勝,8,1590,9
202601010109,複勝,10,230,4
202601010109,枠連,1-7,11600,25
202601010109,馬連,1-8,63340,40
202601010109,ワイド,1-8,12270,41
202601010109,ワイド,1-10,2130,22
202601010109,ワイド,8-10,5980,35
202601010109,馬単,1→8,99580,76
202601010109,三連複,1-8-10,100500,98
202601010109,三連単,1→8→10,1109410,618
202601010110,単勝,5,1050,5
202601010110,複勝,5,330,5
202601010110,複勝,7,170,1
202601010110,複勝,3,730,10
202601010110,枠連,5-6,1320,5
